z_freq_e_2.92,xy_e_freq_m_1.25,t_freq_e_2.36,z_freq_m_4.58,xy_e_freq_e_3.06,t_freq_m_1.39,t_freq_e_3.75,xy_e_freq_m_0.69,t_freq_m_4.17,z_freq_e_3.75,z_freq_m_0.42,xy_e_freq_e_0.42,t_freq_e_4.03,xy_e_freq_m_3.61,xy_e_stddev,xy_e_freq_m_1.39,xy_e_freq_e_1.53,mcr_t,xy_e_freq_m_4.72,z_freq_e_4.17,xy_e_freq_e_2.36,xy_e_freq_e_3.19,t_freq_m_0.83,mcr_z,t_freq_e_3.61,t_freq_e_1.67,xy_e_freq_m_0.56,t_freq_m_1.25,t_freq_e_0.83,z_freq_e_3.61,z_freq_m_1.11,xy_e_freq_e_1.67,xy_e_freq_e_4.86,xy_e_freq_m_4.44,z_freq_e_4.44,t_freq_m_0.56,xy_e_freq_e_2.22,t_freq_e_0.56,t_freq_e_1.94,z_freq_e_2.78,t_freq_m_1.53,xy_e_freq_m_3.47,xy_e_freq_e_0.69,z_e_mean,z_freq_m_0.28,xy_e_freq_m_1.11,z_freq_m_4.72,t_freq_e_2.50,t_freq_m_4.31,t_freq_e_2.64,z_freq_e_4.31,t_freq_m_0.69,xy_e_freq_m_4.58,t_freq_e_0.69,xy_e_freq_m_0.42,corr_z_e_xy_e,t_freq_e_3.47,t_freq_e_1.81,t_freq_m_3.89,z_dwt_avg_-5,z_dwt_avg_-6,z_dwt_avg_-7,t_freq_m_4.44,xy_e_freq_m_3.33,z_dwt_avg_-8,xy_e_freq_e_0.56,z_dwt_avg_-9,z_freq_e_0.97,z_freq_m_0.14,z_freq_e_3.47,z_dwt_avg_-0,xy_e_freq_e_1.81,z_dwt_avg_-1,z_dwt_avg_-2,z_peak_d_mean,z_dwt_avg_-3,z_freq_m_4.86,z_dwt_avg_-4,z_dwt_norm_-8,z_dwt_norm_-7,z_dwt_norm_-6,z_dwt_norm_-5,xy_e_freq_m_3.19,z_dwt_norm_-9,z_dwt_norm_-0,z_freq_m_4.17,xy_e_freq_e_4.03,z_dwt_norm_-4,t_freq_m_3.75,z_dwt_norm_-3,z_dwt_norm_-2,xy_e_freq_e_3.47,z_dwt_norm_-1,xy_e_freq_e_2.92,xy_e_freq_e_0.00,xy_e_freq_e_4.72,t_freq_e_1.39,z_freq_e_0.83,z_freq_m_3.33,t_freq_m_4.58,z_freq_m_0.00,xy_e_freq_m_0.28,xy_e_freq_m_3.06,z_freq_e_4.58,t_freq_e_2.08,xy_e_freq_e_4.58,xy_e_freq_e_1.94,xy_e_freq_e_2.78,t_freq_m_3.61,z_freq_m_2.92,xy_e_freq_e_3.61,t_freq_m_2.92,xy_e_freq_m_0.14,t_freq_m_1.67,t_freq_e_1.25,z_freq_m_3.19,t_freq_e_0.97,z_freq_e_4.86,xy_e_freq_m_4.86,xy_e_freq_e_2.64,xy_e_freq_e_4.44,t_freq_m_0.97,t_freq_p1,t_freq_p3,t_freq_m_4.72,t_freq_p2,z_freq_m_4.31,xy_e_freq_m_2.08,t_freq_m_1.94,angle_mean,t_freq_e_1.53,z_freq_e_0.69,xy_e_freq_e_0.28,t_freq_m_3.47,xy_e_freq_e_4.17,t_freq_e_3.89,xy_e_freq_m_0.00,z_freq_m_3.06,t_freq_e_2.22,xy_e_freq_e_2.50,xy_e_freq_e_3.33,xy_e_freq_e_4.31,t_freq_p4,z_freq_e_4.72,z_freq_e_3.89,z_freq_m_2.78,t_freq_m_4.86,z_freq_m_4.44,t_freq_m_2.78,t_freq_m_1.81,xy_e_freq_e_0.14,z_freq_e_0.56,z_stddev,z_freq_e_2.08,z_freq_m_3.61,xy_e_freq_m_2.36,z_dwt_ar_-7,z_freq_e_1.39,t_freq_m_2.64,z_dwt_ar_-6,z_dwt_ar_-9,z_dwt_ar_-8,z_dwt_ar_-3,z_freq_e_1.11,z_dwt_ar_-2,z_dwt_ar_-5,z_dwt_ar_-4,z_freq_e_0.14,z_dwt_ar_-0,z_freq_m_2.50,z_dwt_ar_-1,t_freq_m_0.00,t_freq_e_4.72,t_freq_m_3.33,z_e_stddev,xy_e_freq_e_3.75,z_freq_m_1.81,xy_e_freq_m_1.67,z_freq_m_3.75,t_freq_m_2.50,z_peak_stddev,xy_e_freq_p3,z_freq_e_1.25,xy_e_freq_p4,z_peak_mean,xy_e_freq_p1,xy_e_freq_p2,zcr_z,t_freq_e_4.86,z_freq_m_2.64,z_freq_m_1.94,z_freq_e_2.22,t_freq_e_0.00,xy_e_freq_m_1.53,xy_e_freq_m_2.50,z_freq_m_1.67,t_freq_e_1.11,t_freq_m_3.19,z_freq_e_1.53,t_freq_e_4.58,z_freq_m_2.36,xy_e_freq_m_1.81,z_freq_m_4.03,z_freq_e_0.28,xy_e_freq_m_2.22,z_freq_m_3.47,z_freq_m_0.97,t_freq_m_2.36,z_freq_e_0.42,z_freq_p4,z_freq_p3,z_freq_p2,z_freq_p1,t_freq_m_3.06,xy_e_freq_e_3.89,corr_z_xy_e,t_freq_m_2.22,xy_e_freq_e_0.83,xy_e_freq_m_4.17,z_freq_e_3.33,xy_e_freq_e_2.08,z_freq_m_0.83,z_mean,t_freq_e_4.31,xy_e_freq_m_0.83,z_freq_e_2.50,t_freq_m_0.42,z_freq_m_2.22,t_freq_e_4.44,z_freq_e_1.67,t_freq_e_3.33,xy_e_freq_m_1.94,z_freq_m_1.53,t_freq_e_0.42,xy_e_freq_m_2.92,t_freq_e_2.78,z_freq_e_2.64,xy_e_freq_m_0.97,xy_e_freq_e_1.11,t_mean,xy_e_freq_m_4.31,t_freq_m_0.28,t_stddev,t_freq_e_4.17,z_freq_e_3.19,xy_e_mean,z_peak_d_stddev,xy_e_freq_m_3.89,z_kurt,z_freq_e_1.94,z_freq_m_0.69,z_freq_m_1.25,t_freq_e_0.14,t_freq_e_3.06,xy_e_freq_m_2.64,z_freq_m_3.89,xy_e_freq_e_1.25,z_freq_e_4.03,z_freq_e_2.36,t_freq_m_2.08,xy_e_freq_m_4.03,xy_e_freq_e_0.97,z_freq_e_3.06,t_freq_e_2.92,z_freq_e_0.00,angle_stddev,t_freq_m_4.03,z_freq_e_1.81,z_freq_m_0.56,t_freq_m_1.11,z_freq_m_1.39,z_freq_m_2.08,xy_e_freq_m_3.75,xy_e_freq_e_1.39,xy_e_freq_m_2.78,t_freq_e_3.19,t_freq_e_0.28,t_freq_m_0.14,label
0.0,0.0,0.0,0.0,0.0,0.0,0.0010452276814920723,0.0,0.0,0.013258068851618603,0.07199522920782242,0.09202448274700517,0.0,0.0,0.0037747844680890204,0.0,0.028502439925775017,10,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.014594847503549656,0.0,0.040666630767770474,0.0011345781900813532,2.1287471323189555E-4,0.0,0.013660348500208228,0.0,0.0,0.0,0.019344341746366164,0.0,0.0,0.02235877149659,0.0,0.0011541754856532113,0.0,0.0,0.0,0.0022195463386095573,0.0,0.0,0.0,0.0,0.0019315191829581628,0.33499000608538343,0.0,0.0,0.0,-0.006360450521833671,-0.002526818213227912,-9.109096458463598E-4,0.004316930369915654,4.93680247435538E-4,0.0,0.0,0.0,0.0,0.0,0.0,-0.8116427784425907,0.0,-1.1481890416089047,-0.27798985819044186,1.550840576,-0.11556609893459371,0.001661553422899778,-0.05353285730352814,0.0,0.0015514795393470136,0.005832782660558142,0.025769534260686386,0.0,0.0,0.18431846589334006,0.0,0.0,0.03495910495684734,0.008995598686733115,0.09885292187603933,0.2798521244040955,0.0,0.3688635864090862,0.0,0.7255578135170507,0.0,0.0,0.0,0.020397008741704678,0.0,0.191523654135688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1013991942104178E-4,0.0011303775727765336,0.0053903129105586905,0.042034291830679235,0.0,0.6696428571428571,3.5714285714285716,0.0,1.5625,0.0,0.0,0.0,0.0026161558259799864,0.004890070225862232,0.0,0.0,0.0,0.0,0.0,0.00615177490932958,0.0,0.001142381632061002,0.0,0.005282050775369857,0.0,0.0,0.0,0.0,0.0,0.0036939550047410123,0.002362904525805659,0.0,0.0,0.0,0.0,0.14986212523362166,0.0,0.0,0.0,0.9999999999999999,0.0,0.01184407553149493,0.9984485204606528,0.0,0.0,0.9318870985825609,0.005205865470532158,0.8330341767065217,0.9926157378000946,0.9668462035394083,0.0,0.18431846589334006,0.0,0.5531820523024262,0.2834583128481958,0.0,0.016037329774389163,0.020046128041787376,0.01208358224710483,0.0,0.0,0.021974573258048066,0.0,0.1422071580607145,3.794642857142857,0.0,4.6875,0.1419501078424476,0.6696428571428571,1.5625,5,1.8083896765535705E-4,0.010128925432794797,0.0,0.005788518089458062,0.9109163796102571,0.001247296805067523,0.0,0.0,0.006117897711852417,0.0,0.01201712772474838,0.0,0.0,0.0,0.0,0.0,6.488621508773496E-4,0.0,0.0,0.0,0.11774929259070636,0.0,3.794642857142857,1.7857142857142858,0.8928571428571429,0.0,0.0,0.19617368448115044,0.009173211868505855,0.0,0.0,0.010329589919246594,0.0,0.0,-6.138214580590214E-4,0.0,0.0,0.0,0.06596344089315832,0.0131591190953436,2.459073251390516E-4,0.0,0.005234111945584611,0.0,0.021938580014410014,0.06800763856148688,0.0,0.0,0.00354145028282619,0.0,0.03479804677847774,0.14172915642409803,0.0,0.0,0.0732904155697223,0.0,0.0,0.003075887454664791,0.940030153415598,0.0,-1.2044120377579948,0.0,0.0,0.0,0.0,0.0,4.4762674746060113E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8317870724382107,0.0027787984840280584,0.0,0.0,0.0,0.019559643758700423,0.0,0.0,8.137689514800528E-4,0.0,0.0,0.0,0.0,0.0,LiftAD
0.0,0.0,0.0,0.0,0.015153758285667781,0.0,0.0033744676068599615,0.0,0.012146948706752893,5.21248346582935E-4,0.05093478337115425,0.1337216666683146,0.0,0.0,0.02135258390295194,0.0,0.07421715023343667,19,0.0,3.102453617094012E-5,0.0,0.0,0.04810772551127026,3,0.0,0.0,0.0,0.0,0.02536887047330441,0.0,0.0,0.0,0.018319286063227757,0.0,0.0,0.0,0.0,0.0,0.001684109521646455,0.0,0.02884249272387378,0.0,0.0,0.020674067579092438,0.0,0.0,0.0,0.0,0.0,0.0010848399247371646,0.0,0.0,0.0,0.0,0.011611353948382582,-0.2227344788841331,0.0,0.0,0.0,-0.0038563020612043973,-0.001410732356697403,-5.021809164571206E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1319949686757083,0.0,-0.5156393925973207,0.15809516072502236,1.295593261,-0.047457872709265804,5.183897883190027E-4,-0.007839435974057087,0.0,7.764799024856922E-4,0.003010743832377377,0.00979975455490261,0.0,0.0,0.49783242381075965,9.116242368109206E-4,0.0,0.04953778476748532,0.01806477327460043,0.04569358372858422,0.2900525497334446,0.0,0.10329667966996052,0.0,0.5536432281283923,0.0,0.0,0.016728494434069485,0.0,0.0,0.19036434917755365,0.0,0.0038996263252412946,0.0,0.0,0.0,0.019468585893465132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2082160933447494E-5,0.004566896025773838,0.004816704976566811,0.0,0.0,0.8849557522123894,3.5398230088495577,0.0,1.7699115044247788,0.0,0.0,0.012778614122100572,9.466108655001662E-4,0.009407644175821964,0.0,0.0,0.0,0.03420873790329336,0.0,0.026918136210570043,0.007598128645272134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010445740726664704,0.0,0.0,0.0,0.0,0.0,0.1440173289073009,0.0,0.0,0.0,1.0,0.0,0.01025180746985571,0.9992235200975144,0.0,0.0,0.9368752369427489,0.0,0.8911816532141648,0.9962127762651369,0.9864130217102342,0.0,0.49783242381075965,0.0,0.6011291034807201,0.33432038493172733,0.0,0.0,0.023993033391210488,0.05135428010246503,0.0,0.0,0.0044508254728614725,0.0,0.19126246228520058,3.982300884955752,0.0,5.3097345132743365,0.1630058325291344,1.1061946902654867,2.2123893805309733,4,0.0010835100326395107,0.004066647038808748,0.009293436472972996,0.0,0.9152371962338743,0.00834557505696993,0.0,0.0,0.0,0.0,5.521567327259459E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09006221044156552,0.0,0.0,2.433628318584071,0.6637168141592921,0.012436957118826215,0.0,0.03015037380516602,0.0,0.09509660174517061,0.005417236466451688,0.0,0.0,0.023569001294425185,-0.0049850626949091165,0.0,0.00945671634099976,0.0,0.0561985280464453,0.0,0.0,0.0,0.0,0.0046696931618818395,0.0045609398124548265,0.03900662265747358,0.0,0.0,4.6356576351170155E-4,0.0,0.0,0.16716019246586367,0.0,0.0,0.07885505400694365,0.0020712008605485222,0.0,0.013459068105285023,0.0,0.0,-0.6759134311343518,0.0032208914796033055,0.0,0.0,0.0,0.001681538513094041,0.0023370082383209366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002370659100682566,0.0,0.8860376670041542,5.569586547391675E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.007374076293887615,0.0,0.0,0.0,0.0,0.0,LiftAD
NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,0.0,NaN,0.0,NaN,NaN,0.0,0.003664365741908829,0.0,NaN,4,0.0,NaN,NaN,NaN,0.0,5,NaN,NaN,0.0,0.0,NaN,NaN,0.0,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,NaN,0.059742875429410175,0.0,0.0,0.0,NaN,0.0,NaN,NaN,0.0,0.0,NaN,0.0,0.04061785351289133,NaN,NaN,0.0,-0.006871955796779268,-0.002506082172364841,-8.919215942563659E-4,0.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,-0.4856352393979543,NaN,-2.355612268829243,-0.09746296063095683,0.523712,-0.05121300037029805,0.0,0.015916800988649813,0.0,0.0011738079204053273,0.004459515410660312,0.017072430702608898,0.0,0.0,0.023940868278900997,0.0,NaN,0.04166084630660979,0.0,0.13933921962748827,0.20906968687101518,NaN,0.5632836248823112,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,NaN,NaN,0.0,NaN,NaN,0.0,0.8620689655172413,4.022988505747127,0.0,2.2988505747126435,0.0,0.0,0.0,0.001736441457662092,NaN,NaN,NaN,0.0,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.24500252389700025,NaN,0.0,0.0,1.0,NaN,0.0,0.9988261920795947,0.0,0.0,0.9356333996597156,NaN,0.7962941800322274,0.9943666766689343,0.9772942459663253,NaN,0.023940868278900997,0.0,0.5872244931612123,0.0,NaN,0.0,0.0590103677051593,NaN,0.0,0.0,0.0,0.0,0.2388963943185802,0.0,NaN,0.0,0.2683605569800389,1.4367816091954022,0.0,5,NaN,0.0,0.0,NaN,NaN,0.0,0.0,0.0,NaN,0.0,NaN,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,NaN,0.0,3.735632183908046,2.0114942528735633,0.8620689655172413,0.0,NaN,0.08660391576568346,0.0,NaN,0.0,NaN,NaN,0.0,-0.00784965511602181,NaN,0.0,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.0,NaN,0.0,NaN,NaN,0.0,NaN,0.21607646599163302,0.0,0.0,0.12703012313466966,NaN,NaN,0.002990076529266909,0.0,0.0,-1.0749309916827998,NaN,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,0.0015036094493964826,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN,NaN,0.0,LiftAD
0.0,0.0,0.0,0.0,0.02911540779920121,0.0,0.0014329344727000847,0.0,0.005227918590966186,0.005694082667973625,0.06777058496149194,0.021654161951829676,0.0,0.0,8.883292311288218E-4,0.0,0.030404853864196342,6,0.0,1.642227236634139E-4,0.0,0.0,0.018446790519708624,5,0.0,0.0,0.0,0.0,0.007803666583936666,0.0,0.0,0.0,0.007649617737052837,0.0,0.0,0.0,0.0,0.0,2.969593865462669E-4,0.0,0.013027273525880598,0.0,0.0,0.022543008835857116,0.0,0.0,0.0,0.0,0.0,0.0011592035881730427,0.0,0.0,0.0,0.0,2.2964529178574498E-4,-0.13682871633366966,0.0,0.0,0.0,-0.005885790427491601,-0.0021953688299127336,-7.827670483715832E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0628338593104592,0.0,-0.4592803901635608,-0.2749053686994857,0.81616211,-0.02869782748695189,0.001039921867450191,-0.04751166888833161,0.0,0.001325340105579744,0.004986816296713889,0.00904508071804057,0.0,0.0,0.35150468969396553,0.002179994833962069,0.0,0.03047605629109676,0.009720743040653127,0.08784348766984558,0.44918040429068906,0.0,0.06563812493406883,0.0,0.7883949949432066,0.0,0.0,0.0128998478279689,0.0,0.0,0.1973992333164567,0.0,2.927125479913787E-4,0.0,0.0,0.0,0.01024126740046225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.120904798479448E-5,1.6526797666332528E-4,0.01740115366691979,0.0,0.0,0.6637168141592921,3.982300884955752,0.0,1.5486725663716814,0.0,0.0,0.004208294586324814,3.299814400295853E-4,0.002498717666855308,0.0,0.0,0.0,0.047029710162244324,0.0,0.0018868991319704112,0.011118900393806204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015138291299585794,0.0,0.0,0.0,0.0,0.0,0.1504426596933754,0.0,0.0,0.0,1.0000000000000002,0.0,0.009311905571039263,0.9986746598944204,0.0,0.0,0.9541667065885691,0.0,0.8663232189187235,0.9936878435977065,0.9846427628796659,0.0,0.35150468969396553,0.0,0.4171428146280344,0.2718377624610429,0.0,0.0,0.020089611651706574,0.023527727279674723,0.0,0.0,0.013417866733887854,0.0,0.04587430562940683,4.20353982300885,0.0,0.0,0.22262644394500564,1.3274336283185841,2.433628318584071,4,3.110323737187696E-5,0.006930255542584431,0.00862913704954712,0.0,0.91271274132157,3.2420134959153284E-4,0.0,0.0,0.0,0.0,0.0020635088144273918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10280993963721857,0.0,3.7610619469026547,2.433628318584071,0.8849557522123894,0.009606987708903635,0.0,-0.17707218750843004,0.0,0.02458110519521219,3.841614273955205E-4,0.0,0.0,0.018176938639915513,-0.00318762776245215,0.0,2.5614857001383294E-4,0.0,0.06963197620987988,0.0,0.0,0.0,0.0,1.5583567537282E-4,0.009533572456187179,0.07238954369238042,0.0,0.0,0.001972327865207442,0.0,0.0,0.13591888123052148,0.0,0.0,0.07095628214850723,4.0654438691355713E-4,0.0,9.434495659852055E-4,0.0,0.0,-1.2280455042686569,0.0019991509863942426,0.0,0.0,0.0,0.0012685856635528947,2.7231560352068647E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033198863939649294,0.0,0.8690358240351965,2.8942622950842015E-4,0.0,0.0,0.0,0.0,0.0,0.0,3.014648384179576E-4,0.0,0.0,0.0,0.0,0.0,LiftAD
0.0,0.0,4.579352381765564E-4,1.176236266403921E-4,0.0,0.02211964177336406,1.2436032894994772E-4,0.0,0.007101430499654685,4.803649013428003E-4,0.0,0.0,0.0,0.0012444711829808113,0.004167912307429692,0.0016178492433171867,0.0,8,0.0,1.8698582613013444E-6,0.03242743023705609,0.010266188986798734,0.0,6,5.321660491079456E-5,0.0,0.0019025040902081634,0.0,0.0,5.068459956689373E-4,0.0,0.0,0.0,0.0,0.0,0.07863331526173029,0.0,0.06925440520096902,5.590101074514923E-4,8.001335610625563E-4,0.0,0.0,0.0,0.040133037029650806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.649885133607456E-4,0.0,0.0,-0.16863113568584467,0.0,5.262766548828448E-4,0.0,-0.013951965565632642,-0.004945654694037729,-0.00174897773577603,0.0,0.0,0.0,0.07802942669492773,0.0,0.014667594220541124,0.20501002806260732,0.0,-0.7665510916708426,0.05540670811957502,-0.9402355985855101,-0.42494820362077446,1.3008575435,-0.16210444423049802,0.0,-0.04687552271804335,0.0,6.231380485945184E-4,0.002467711548254334,0.009743823417757978,7.526113429531288E-4,0.0,0.07294815832748527,4.035596890016211E-4,0.0,0.03475696578355186,0.004167609193995388,0.1095550935842993,0.6601548640493105,0.0,0.10975024524074622,0.0,0.407763903645964,0.0,0.0032657160375802147,0.0,0.0,0.0024877926356910666,0.1706411821486786,0.0,0.0,1.7627248852454196E-7,0.0,0.004644406636815689,0.07443952402362045,0.03116124566363988,0.0025211226649088166,0.0,0.035048371435148364,0.0,0.0024021035222652823,0.0,0.0,0.002515688046198936,0.005721718912272153,0.0,0.0,0.0,0.0,0.021899129005316046,0.6024096385542169,0.0,0.0,0.0,0.0,0.0,0.007638612517382092,0.0020175860541112945,0.0,0.0,0.0,0.0,0.0075102795548350225,0.0,0.004446116987808832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00745247752791141,0.0,0.0,0.009188950966339085,0.007638612517382092,0.1580263047015919,0.050153718893605974,0.20070719251094482,0.0,0.0058826682479487385,0.0010586221116476642,1.0,0.009452077822913534,0.0,0.9993768619514056,0.0,0.0,0.9524083612018412,0.0,0.842853267617542,0.9969091504031512,0.9871653269853932,0.6492712064398004,0.07294815832748527,0.0,0.1826984035682315,0.33575643592674953,0.0,0.0,0.05031994952178713,0.018448871540092764,0.01962179575016957,0.0,0.0058826682479487385,0.0,0.1633564504242572,2.8112449799196786,0.0,3.6144578313253013,0.23550162001419417,0.6024096385542169,1.606425702811245,6,0.0,0.0,0.014159398885916408,0.0,0.8167489585861077,0.0,0.0,0.0,0.0,0.008857394253596537,0.0,6.323211788562129E-5,0.005664972649869911,0.0015477889647685782,0.0,0.0,0.0,0.0,0.03554162449759621,0.006558557826290246,0.0,0.0,0.0,0.0,0.6024096385542169,0.0,0.0,0.02332840558094295,0.0,0.0,5.125337342638017E-4,0.0,0.0,0.0,-0.0033823859998485368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015477889647685782,0.0,0.0,0.0,0.0010231509922175165,0.0,9.194678047118044E-4,0.0,0.16787821796337482,0.0,0.0,0.11929018672277997,4.1373705731641134E-4,6.598548873498588E-5,0.0022230584939044156,1.103883282225338,0.0,-0.4572717881101318,0.0030947182016478553,0.0,0.0,0.1010958083782976,0.0,0.0,0.0,0.0,0.0,5.83045772059837E-4,0.0,0.0,0.02234253134026388,0.0,0.0,0.26614361216615734,0.001987113948115585,0.0,0.004778650405714937,0.06219142462475051,0.0,0.0233035644676881,0.0,8.039615402058778E-4,0.0644848074196703,0.0010539681156660438,6.924737829821362E-4,0.0,0.11704157021873116,LiftAD
0.0,0.0,0.0018041911007089743,5.819887499572327E-4,0.0,0.019050963971085834,0.0,0.0,0.0068447793496060096,0.0,0.0,0.0,7.484955374431679E-5,4.5356576300703517E-4,0.003941498593334971,0.0012670097982291231,0.0,6,0.0,1.1558225386775858E-5,0.00618330531506996,0.0051901088659993405,0.0,5,2.8958031931859837E-4,0.0,0.001597194179841422,0.0,0.0,2.250249852330401E-4,0.0,0.0,0.0,0.0,0.0,0.07529513248100367,0.0,0.06893199962056404,0.001070655189973397,5.488752412480114E-4,0.0,0.0,0.0,0.037579828950791386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001102033370583799,0.0,0.0,0.021008187432088068,0.0,5.047323640421946E-4,0.0,-0.008608081921899154,-0.003023345388268996,-0.0010673180532806102,0.0,0.0,0.0,0.06458431759580435,0.0,0.015888538619205052,0.19869318488248636,0.0,-0.44685225660969086,0.022468101697821253,-2.1874982293179057,-0.029013686582009146,1.329345664,-0.020504530428096912,0.0,-0.04153266136589229,0.0,6.28589727240182E-4,0.0024831156047492474,0.009085786280032713,4.909609250681863E-4,0.0,0.023877565711080875,8.523083415839901E-4,0.018191364481446655,0.03543687377976399,0.0,0.13467550217962276,0.2215997801003646,0.0,0.5722127866171455,0.0,0.4925159448461091,0.0,0.003281148510166178,0.0,0.0,0.005621226355498771,0.1658546707759843,0.0,0.0,5.880044440295404E-6,0.0,0.03308422879834933,0.01657453390050977,0.0046334599406117555,0.00615422650751494,0.0,0.006491180753681849,0.0,0.0031791712547509063,0.0,0.0,0.004840482565970003,0.006694597271555537,0.0,0.0,0.0,0.0,0.023574020125673126,0.6048387096774194,0.0,0.0,0.0,0.0,0.0,0.012093151996296583,4.64548523394432E-4,0.0,0.0,0.0,0.0,0.031224542487332117,0.0,0.004889744966655726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006055240728863184,0.0,0.0,0.012034213212177017,0.007949984143801783,0.21785014843277042,0.04830364369086655,0.19422362728812304,0.0,0.0047310714247981575,5.305979944017793E-4,0.9999999999999998,0.007379765815468945,0.0,0.9993714102727597,0.0,0.0,0.9523656346082137,0.0,0.8176901324285909,0.9968882946680103,0.9878025083879776,0.6508228658908378,0.023877565711080875,0.0,0.5960903523282263,0.3301971675545906,0.0,0.0,0.04670414377749795,0.0,0.015590895852582103,0.0,0.0,0.0,0.12948617150926173,4.435483870967742,0.0,6.451612903225806,0.2513015000043597,0.8064516129032258,1.814516129032258,6,0.0,0.0,0.015590895852582103,0.0,0.8263831473262462,0.0,0.0,0.0,0.0,0.0041094817223608195,0.0,3.6042406002370565E-4,0.006271260429474322,9.927045077752922E-4,0.00262522378231903,0.0,0.0,0.0,0.035191724983371836,0.014332630240050504,0.0,0.0,0.0,0.0,0.6048387096774194,0.0,0.0,0.3590213988213833,0.0,0.0,0.0011784089887241214,0.0,0.0,0.0,-0.003019882199817738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.302405112816099E-4,0.0,0.0,0.0,0.0013211729460826703,0.0,0.0012654910987903371,0.0,0.16509858377729536,0.0,0.0,0.11322035140363852,3.8568667039314474E-4,3.0624145746122223E-4,0.0024448724833278633,1.1394242191370574,0.0,-0.48401186235467764,0.003509237176700098,0.0,0.0,0.08875626376401909,0.0,0.0,0.0,0.0,7.401639339114373E-5,7.466522722226572E-4,0.0,8.565663368956875E-4,0.037702806269150325,0.0,0.0,0.26761153735168414,3.930289928690563E-4,0.00312148643080864,0.004566162835854327,0.056802620005878365,0.0,0.019936788922571173,0.0,0.0,0.04330595661534366,4.159991291499928E-4,1.4155130316183788E-4,0.0,0.11059472646236321,LiftAD
