z_hmm_model-Nietsdoen,z_hmm_model-Fietsen,z_hmm_model-Springen,z_hmm_model-Tandenpoetsen,z_hmm_model-Lopen,z_hmm_model-LiftAD,z_hmm_model-Trapaf,z_hmm_model-LiftAU,z_hmm_model-Wandelen,z_hmm_model-Trapop,label
NaN,-1.1989953546923242,-3.709157436001643,NaN,-2.964924849345164,NaN,-1.7993190605729996,NaN,-1.6405613414394715,-1.108772861221449,Trapop
NaN,-1.448936516821673,-3.563947722984131,NaN,-2.9010321232726173,NaN,-1.8517977831378236,NaN,-1.77822852733418,-1.3616196640218334,Trapop
NaN,-1.434989741516058,-3.399444493578835,NaN,-2.939963826185291,NaN,-1.5706923498480274,NaN,-1.9787400977957283,-1.4511439137758069,Trapop
NaN,-1.7456333599805545,-3.415457905290751,NaN,-2.954387477438312,NaN,-1.8458365422696812,NaN,-1.7342435353389976,-1.3518308925124765,Trapop
NaN,-1.3812746778417524,-3.5531221476693315,NaN,-2.962574228716173,NaN,-1.674935801924389,NaN,-1.8134704666724453,-1.2635115154348937,Trapop
NaN,-1.2094477618426893,-3.67168571883291,NaN,-2.923875310915901,NaN,-1.8545302075398096,NaN,-1.574128084874356,-1.0993079678798914,Trapop
NaN,-1.443121737362266,-3.500388321119013,NaN,-2.897470734384514,NaN,-1.7025385835899156,NaN,-1.828104776291861,-1.3770024491288606,Trapop
NaN,-1.1404930735901158,-3.70633377249048,NaN,-2.9351558407283944,NaN,-2.013400571662134,NaN,-1.4271153943503379,-0.9902928071091576,Trapop
NaN,-1.1585414531952622,-3.609120270539561,NaN,-2.8951147439641876,NaN,-1.905429395868649,NaN,-1.4922242228547513,-1.0012633627750773,Trapop
1.8433881900518936,-0.7190915938007604,-3.5338248580783658,2.1279076071330048,-2.584812096604,1.7182599902538762,-1.2443638555769245,1.4237834544731975,-0.6768202830093357,-0.3073572476182312,Tandenpoetsen
2.761678613147683,-0.7137079650903452,-3.5336654025274883,2.9584311047009137,-2.5844792607231444,2.4660010258624423,-1.2418020782794723,2.383517514340427,-0.6744064185723345,-0.2947122293597755,Tandenpoetsen
2.2833078265016766,-0.7162601293947896,-3.533473623381827,2.523813583946636,-2.584682763496092,2.254398707221012,-1.24326612153528,2.009925430494977,-0.675191437604201,-0.2994402181130944,Tandenpoetsen
0.3894443578350193,-0.7444372066385861,-3.5377657971200476,0.9911197181483606,-2.5858307765147903,-3.523157289932126,-1.2534242342119202,-3.9295350351433203,-0.692541771762266,-0.3759604478836674,Tandenpoetsen
1.7578010634684247,-0.7195313416600825,-3.5358757188653023,2.160373456122092,-2.584458358229652,1.433302205957214,-1.2424604110461435,1.1759564784798133,-0.6795891713807297,-0.31726477624230376,Tandenpoetsen
2.3293784041530157,-0.7224871520830339,-3.53232020272987,2.707705830856953,-2.5848804058238346,1.7808484551957218,-1.248474855749287,1.669386874329637,-0.6771931614543174,-0.304404583448244,Tandenpoetsen
3.4749408055566366,-0.7129202298174545,-3.5322074981453455,3.4676999507526842,-2.584921488072998,2.707658632025236,-1.2429523673238294,2.7586712307444206,-0.6721676879090377,-0.28555725985320407,Tandenpoetsen
3.1898655862731,-0.7130613588568077,-3.5331022200019504,3.3111392036579512,-2.584534018822266,2.611320652067024,-1.2420507617653358,2.6511570591102127,-0.6734131088655905,-0.290697253703963,Tandenpoetsen
3.415005633474814,-0.7129586443613353,-3.5317920319052343,3.4414714266746183,-2.5847623141382794,2.71068033998221,-1.243293134022309,2.7982328532447434,-0.6716359051344126,-0.28423007244146603,Tandenpoetsen
3.5463680849084134,-0.7124780886535803,-3.533151502196619,3.4939998327736577,-2.5844869568140703,2.7810417073145546,-1.2417020274530046,2.81111963808304,-0.673260327513416,-0.2897312761666454,Tandenpoetsen
