trainingset,methode,folds,accuracy
Trainingset7,IBk_2B,10,81.91489361702128
Trainingset7,LibSVM_1,10,85.1063829787234
Trainingset7,LibSVM_2,10,82.97872340425532
Trainingset7,DecisionTable_1,10,68.08510638297872
Trainingset7,J48_1,20,87.23404255319149
Trainingset7,J48_2A,20,87.23404255319149
Trainingset7,J48_2B,20,87.23404255319149
Trainingset7,J48_3,20,87.23404255319149
Trainingset7,NaiveBayes,20,80.85106382978724
Trainingset7,IBk_1,20,73.40425531914893
Trainingset7,IBk_2A,20,74.46808510638297
Trainingset7,IBk_2B,20,81.91489361702128
Trainingset7,LibSVM_1,20,85.1063829787234
Trainingset7,LibSVM_2,20,79.7872340425532
Trainingset7,DecisionTable_1,20,64.8936170212766
Trainingset2,J48_1,10,91.48936170212765
Trainingset2,J48_2A,10,91.48936170212765
Trainingset2,J48_2B,10,91.48936170212765
Trainingset2,J48_3,10,91.48936170212765
Trainingset2,NaiveBayes,10,80.85106382978724
Trainingset2,IBk_1,10,80.85106382978724
Trainingset2,IBk_2A,10,80.85106382978724
Trainingset2,IBk_2B,10,75.53191489361703
Trainingset2,LibSVM_1,10,82.97872340425532
Trainingset2,LibSVM_2,10,79.7872340425532
Trainingset2,DecisionTable_1,10,62.765957446808514
Trainingset2,J48_1,20,89.36170212765957
Trainingset2,J48_2A,20,89.36170212765957
Trainingset2,J48_2B,20,89.36170212765957
Trainingset2,J48_3,20,89.36170212765957
Trainingset2,NaiveBayes,20,80.85106382978724
Trainingset2,IBk_1,20,78.72340425531915
Trainingset2,IBk_2A,20,79.7872340425532
Trainingset2,IBk_2B,20,76.59574468085107
Trainingset2,LibSVM_1,20,84.04255319148936
Trainingset2,LibSVM_2,20,76.59574468085107
Trainingset2,DecisionTable_1,20,70.2127659574468
Trainingset1,J48_1,10,90.42553191489361
Trainingset1,J48_2A,10,90.42553191489361
Trainingset1,J48_2B,10,90.42553191489361
Trainingset1,J48_3,10,90.42553191489361
Trainingset1,NaiveBayes,10,80.85106382978724
Trainingset1,IBk_1,10,79.7872340425532
Trainingset1,IBk_2A,10,80.85106382978724
Trainingset1,IBk_2B,10,78.72340425531915
Trainingset1,LibSVM_1,10,84.04255319148936
