"Start","End","Label","Prediction"
"156818.35910008402","156818.85910008402","Ruis","Nietsdoen"
"156818.85910008402","156819.35910008402","Ruis","Nietsdoen"
"156819.35910008402","156819.85910008402","Ruis","Nietsdoen"
"156819.85910008402","156820.35910008402","Ruis","Nietsdoen"
"156820.35910008402","156820.85910008402","Ruis","Nietsdoen"
"156820.85910008402","156821.35910008402","Ruis","Nietsdoen"
"156821.35910008402","156821.85910008402","Ruis","Nietsdoen"
"156821.85910008402","156822.35910008402","Ruis","Nietsdoen"
"156822.35910008402","156822.85910008402","Ruis","Nietsdoen"
"156822.85910008402","156823.35910008402","Ruis","Nietsdoen"
"156823.35910008402","156823.85910008402","Ruis","Nietsdoen"
"156823.85910008402","156824.35910008402","Ruis","Nietsdoen"
"156824.35910008402","156824.85910008402","Ruis","Nietsdoen"
"156824.85910008402","156825.35910008402","Ruis","Nietsdoen"
"156825.35910008402","156825.85910008402","Ruis","Nietsdoen"
"156825.85910008402","156826.35910008402","Ruis","Nietsdoen"
"156826.35910008402","156826.85910008402","Ruis","Nietsdoen"
"156826.85910008402","156827.35910008402","Ruis","Nietsdoen"
"156827.35910008402","156827.85910008402","Ruis","Nietsdoen"
"156827.85910008402","156828.35910008402","Ruis","Nietsdoen"
"156828.35910008402","156828.85910008402","Ruis","Nietsdoen"
"156828.85910008402","156829.35910008402","Ruis","Nietsdoen"
"156829.35910008402","156829.85910008402","Ruis","Nietsdoen"
"156829.85910008402","156830.35910008402","Ruis","Nietsdoen"
"156830.35910008402","156830.85910008402","Ruis","Nietsdoen"
"156830.85910008402","156831.35910008402","Ruis","Nietsdoen"
"156831.35910008402","156831.85910008402","Ruis","Nietsdoen"
"156831.85910008402","156832.35910008402","Ruis","Nietsdoen"
"156832.35910008402","156832.85910008402","Ruis","Nietsdoen"
"156832.85910008402","156833.35910008402","Ruis","Nietsdoen"
"156833.35910008402","156833.85910008402","Ruis","Nietsdoen"
"156833.85910008402","156834.35910008402","Ruis","Nietsdoen"
"156834.35910008402","156834.85910008402","Ruis","Nietsdoen"
"156834.85910008402","156835.35910008402","Ruis","Nietsdoen"
"156835.35910008402","156835.85910008402","Ruis","Nietsdoen"
"156835.85910008402","156836.35910008402","Ruis","Nietsdoen"
"156836.35910008402","156836.85910008402","Ruis","Nietsdoen"
"156836.85910008402","156837.35910008402","Ruis","Nietsdoen"
"156837.35910008402","156837.85910008402","Ruis","Nietsdoen"
"156837.85910008402","156838.35910008402","Ruis","Nietsdoen"
"156838.35910008402","156838.85910008402","Ruis","Tandenpoetsen"
"156838.85910008402","156839.35910008402","Ruis","Tandenpoetsen"
"156839.35910008402","156839.85910008402","Ruis","Tandenpoetsen"
"156839.85910008402","156840.35910008402","Ruis","Tandenpoetsen"
"156840.35910008402","156840.85910008402","Ruis","Trapaf"
"156840.85910008402","156841.35910008402","Ruis","Trapaf"
"156841.35910008402","156841.85910008402","Ruis","Trapaf"
"156841.85910008402","156842.35910008402","Ruis","Trapaf"
"156842.35910008402","156842.85910008402","Ruis","Trapaf"
"156842.85910008402","156843.35910008402","Ruis","Trapaf"
"156843.35910008402","156843.85910008402","Ruis","Trapaf"
"156843.85910008402","156844.35910008402","Ruis","Trapaf"
