x y z
1 0.2 0.2747252747
1 0.25 0.2307692308
1 0.3 0.2637362637
1 0.35 0.2527472527
1 0.4 0.2527472527
1 0.45 0.2527472527
1 0.5 0.2307692308
1 0.55 0.2637362637
1 0.6 0.2417582418
1 0.65 0.2417582418
1 0.7 0.2307692308
1 0.75 0.2087912088
1 0.8 0.2197802198
1 0.85 0.2087912088
1.5 0 0.0879120879
1.5 0.2 0.2747252747
1.5 0.25 0.2747252747
1.5 0.3 0.2747252747
1.5 0.35 0.2747252747
1.5 0.4 0.2747252747
1.5 0.45 0.2747252747
1.5 0.5 0.2747252747
1.5 0.55 0.2747252747
1.5 0.6 0.2747252747
1.5 0.65 0.2747252747
1.5 0.7 0.2747252747
1.5 0.75 0.2747252747
1.5 0.8 0.2747252747
1.5 0.85 0.2747252747
2 0 0.2747252747
2 0.2 0.4945054945
2 0.25 0.5384615385
2 0.3 0.4285714286
2 0.35 0.4285714286
2 0.4 0.4175824176
2 0.45 0.4285714286
2 0.5 0.5604395604
2 0.55 0.4945054945
2 0.6 0.5714285714
2 0.65 0.5604395604
2 0.7 0.4615384615
2 0.75 0.6043956044
2 0.8 0.5714285714
2 0.85 0.6153846154
2.5 0 0.5604395604
2.5 0.2 0.6923076923
2.5 0.25 0.6593406593
2.5 0.3 0.7582417582
2.5 0.35 0.6593406593
2.5 0.4 0.7472527473
2.5 0.45 0.6923076923
2.5 0.5 0.7472527473
2.5 0.55 0.7472527473
2.5 0.6 0.7802197802
2.5 0.65 0.7692307692
2.5 0.7 0.8131868132
2.5 0.75 0.7802197802
2.5 0.8 0.7912087912
2.5 0.85 0.8131868132
3 0 0.6263736264
3 0.2 0.8571428571
3 0.25 0.7692307692
3 0.3 0.9010989011
3 0.35 0.8681318681
3 0.4 0.8901098901
3 0.45 0.8571428571
3 0.5 0.8241758242
3 0.55 0.8131868132
3 0.6 0.9230769231
3 0.65 0.8571428571
3 0.7 0.9230769231
3 0.75 0.8681318681
3 0.8 0.9340659341
3 0.85 0.9450549451
3.5 0 0.7582417582
3.5 0.2 0.8791208791
3.5 0.25 0.9010989011
3.5 0.3 0.8901098901
3.5 0.35 0.8571428571
3.5 0.4 0.8901098901
3.5 0.45 0.9340659341
3.5 0.5 0.967032967
3.5 0.55 0.989010989
3.5 0.6 0.9450549451
3.5 0.65 0.978021978
3.5 0.7 0.978021978
3.5 0.75 1
3.5 0.8 0.989010989
3.5 0.85 1
4 0 0.7142857143
4 0.2 0.8681318681
4 0.25 0.9010989011
4 0.3 1
4 0.35 0.956043956
4 0.4 0.967032967
4 0.45 0.9450549451
4 0.5 1
4 0.55 0.989010989
4 0.6 1
4 0.65 1
4 0.7 0.989010989
4 0.75 1
4 0.8 1
4 0.85 1
4.5 0 0.7472527473
4.5 0.2 0.8901098901
4.5 0.25 0.956043956
4.5 0.3 0.9450549451
4.5 0.35 0.9010989011
4.5 0.4 0.956043956
4.5 0.45 0.967032967
4.5 0.5 1
4.5 0.55 0.9120879121
4.5 0.6 1
4.5 0.65 1
4.5 0.7 0.978021978
4.5 0.75 1
4.5 0.8 1
4.5 0.85 0.989010989
5 0 0.7252747253
5 0.2 0.967032967
5 0.25 0.8901098901
5 0.3 0.9450549451
5 0.35 0.978021978
5 0.4 0.989010989
5 0.45 1
5 0.5 0.9230769231
5 0.55 1
5 0.6 1
5 0.65 0.989010989
5 0.7 0.989010989
5 0.75 0.989010989
5 0.8 1
5 0.85 0.989010989
5.5 0 0.7472527473
5.5 0.2 0.8681318681
5.5 0.25 0.7912087912
5.5 0.3 0.8901098901
5.5 0.35 0.9120879121
5.5 0.4 0.9010989011
5.5 0.45 0.9010989011
5.5 0.5 0.9230769231
5.5 0.55 0.9120879121
5.5 0.6 0.9230769231
5.5 0.65 1
5.5 0.7 0.9230769231
5.5 0.75 0.9450549451
5.5 0.8 0.967032967
5.5 0.85 0.956043956
6 0 0.7362637363
6 0.2 0.6703296703
6 0.25 0.6153846154
6 0.3 0.7692307692
6 0.35 0.7472527473
6 0.4 0.8131868132
6 0.45 0.7252747253
6 0.5 0.8021978022
6 0.55 0.7912087912
6 0.6 0.8131868132
6 0.65 0.7802197802
6 0.7 0.8131868132
6 0.75 0.7912087912
6 0.8 0.8131868132
6 0.85 0.8131868132
6.5 0 0.5934065934
6.5 0.2 0.5824175824
6.5 0.25 0.6263736264
6.5 0.3 0.6153846154
6.5 0.35 0.7472527473
6.5 0.4 0.5934065934
6.5 0.45 0.7582417582
6.5 0.5 0.6153846154
6.5 0.55 0.7582417582
6.5 0.6 0.6043956044
6.5 0.65 0.6153846154
6.5 0.7 0.6263736264
6.5 0.75 0.7472527473
6.5 0.8 0.6043956044
6.5 0.85 0.7692307692
7 0 0.4725274725
7 0.2 0.7912087912
7 0.25 0.8021978022
7 0.3 0.9450549451
7 0.35 0.9010989011
7 0.4 0.9450549451
7 0.45 0.9230769231
7 0.5 0.9230769231
7 0.55 0.967032967
7 0.6 0.8901098901
7 0.65 0.9120879121
7 0.7 0.967032967
7 0.75 0.9230769231
7 0.8 0.9230769231
7 0.85 0.967032967
7.5 0 0.7692307692
7.5 0.2 0.7362637363
7.5 0.25 0.4945054945
7.5 0.3 0.5274725275
7.5 0.35 0.7692307692
7.5 0.4 0.6923076923
7.5 0.45 0.6263736264
7.5 0.5 0.7802197802
7.5 0.55 0.5824175824
7.5 0.6 0.7692307692
7.5 0.65 0.5714285714
7.5 0.7 0.7912087912
7.5 0.75 0.7802197802
7.5 0.8 0.7912087912
7.5 0.85 0.7912087912
1 0 0.2307692308
