"Start","End","Label","Prediction"
"1.423570948955084E9","1.423570949455084E9","Fietsen","Ruis"
"1.423570949455084E9","1.423570949955084E9","Fietsen","Ruis"
"1.423570949955084E9","1.423570950455084E9","Fietsen","Ruis"
"1.423570950455084E9","1.423570950955084E9","Fietsen","Ruis"
"1.423570950955084E9","1.423570951455084E9","Fietsen","Ruis"
"1.423570951455084E9","1.423570951955084E9","Fietsen","Ruis"
"1.423570951955084E9","1.423570952455084E9","Fietsen","Ruis"
"1.423570952455084E9","1.423570952955084E9","Fietsen","Ruis"
"1.423570952955084E9","1.423570953455084E9","Fietsen","Ruis"
"1.423570953455084E9","1.423570953955084E9","Fietsen","Ruis"
"1.423570953955084E9","1.423570954455084E9","Fietsen","Ruis"
"1.423570954455084E9","1.423570954955084E9","Fietsen","Ruis"
"1.423570954955084E9","1.423570955455084E9","Fietsen","Ruis"
"1.423570955455084E9","1.423570955955084E9","Fietsen","Ruis"
"1.423570955955084E9","1.423570956455084E9","Fietsen","Ruis"
"1.423570956455084E9","1.423570956955084E9","Fietsen","Ruis"
"1.423570956955084E9","1.423570957455084E9","Fietsen","Ruis"
"1.423570957455084E9","1.423570957955084E9","Fietsen","Ruis"
"1.423570957955084E9","1.423570958455084E9","Fietsen","Ruis"
"1.423570958455084E9","1.423570958955084E9","Fietsen","Ruis"
"1.423570958955084E9","1.423570959455084E9","Fietsen","Ruis"
"1.423570959455084E9","1.423570959955084E9","Fietsen","Ruis"
"1.423570959955084E9","1.423570960455084E9","Fietsen","Ruis"
"1.423570960455084E9","1.423570960955084E9","Fietsen","Ruis"
"1.423570960955084E9","1.423570961455084E9","Fietsen","Ruis"
"1.423570961455084E9","1.423570961955084E9","Fietsen","Ruis"
"1.423570961955084E9","1.423570962455084E9","Fietsen","Ruis"
"1.423570962455084E9","1.423570962955084E9","Fietsen","Ruis"
"1.423570962955084E9","1.423570963455084E9","Fietsen","Ruis"
"1.423570963455084E9","1.423570963955084E9","Fietsen","Ruis"
"1.423570963955084E9","1.423570964455084E9","Fietsen","Ruis"
"1.423570964455084E9","1.423570964955084E9","Fietsen","Ruis"
"1.423570964955084E9","1.423570965455084E9","Fietsen","Ruis"
"1.423570965455084E9","1.423570965955084E9","Fietsen","Ruis"
"1.423570965955084E9","1.423570966455084E9","Fietsen","Ruis"
"1.423570966455084E9","1.423570966955084E9","Fietsen","Ruis"
"1.423570966955084E9","1.423570967455084E9","Fietsen","Ruis"
"1.423570967455084E9","1.423570967955084E9","Fietsen","Ruis"
"1.423570967955084E9","1.423570968455084E9","Fietsen","Ruis"
"1.423570968455084E9","1.423570968955084E9","Fietsen","Ruis"
"1.423570968955084E9","1.423570969455084E9","Fietsen","Ruis"
"1.423570969455084E9","1.423570969955084E9","Fietsen","Ruis"
"1.423570969955084E9","1.423570970455084E9","Fietsen","Ruis"
"1.423570970455084E9","1.423570970955084E9","Fietsen","Ruis"
"1.423570970955084E9","1.423570971455084E9","Fietsen","Ruis"
"1.423570971455084E9","1.423570971955084E9","Fietsen","Ruis"
"1.423570971955084E9","1.423570972455084E9","Fietsen","Ruis"
"1.423570972455084E9","1.423570972955084E9","Fietsen","Ruis"
"1.423570972955084E9","1.423570973455084E9","Fietsen","Ruis"
"1.423570973455084E9","1.423570973955084E9","Fietsen","Ruis"
"1.423570973955084E9","1.423570974455084E9","Fietsen","Ruis"
"1.423570974455084E9","1.423570974955084E9","Fietsen","Ruis"
"1.423570974955084E9","1.423570975455084E9","Fietsen","Ruis"
"1.423570975455084E9","1.423570975955084E9","Fietsen","Ruis"
"1.423570975955084E9","1.423570976455084E9","Fietsen","Ruis"
"1.423570976455084E9","1.423570976955084E9","Fietsen","Ruis"
"1.423570976955084E9","1.423570977455084E9","Fietsen","Ruis"
"1.423570977455084E9","1.423570977955084E9","Fietsen","Ruis"
"1.423570977955084E9","1.423570978455084E9","Fietsen","Ruis"
"1.423570978455084E9","1.423570978955084E9","Fietsen","Ruis"
"1.423570978955084E9","1.423570979455084E9","Fietsen","Ruis"
"1.423570979455084E9","1.423570979955084E9","Fietsen","Ruis"
"1.423570979955084E9","1.423570980455084E9","Fietsen","Ruis"
"1.423570980455084E9","1.423570980955084E9","Fietsen","Ruis"
"1.423570980955084E9","1.423570981455084E9","Fietsen","Ruis"
"1.423570981455084E9","1.423570981955084E9","Fietsen","Ruis"
"1.423570981955084E9","1.423570982455084E9","Fietsen","Ruis"
"1.423570982455084E9","1.423570982955084E9","Fietsen","Ruis"
"1.423570982955084E9","1.423570983455084E9","Fietsen","Ruis"
"1.423570983455084E9","1.423570983955084E9","Fietsen","Ruis"
"1.423570983955084E9","1.423570984455084E9","Fietsen","Ruis"
"1.423570984455084E9","1.423570984955084E9","Fietsen","Ruis"
"1.423570984955084E9","1.423570985455084E9","Fietsen","Ruis"
"1.423570985455084E9","1.423570985955084E9","Fietsen","Ruis"
"1.423570985955084E9","1.423570986455084E9","Fietsen","Ruis"
"1.423570986455084E9","1.423570986955084E9","Fietsen","Ruis"
"1.423570986955084E9","1.423570987455084E9","Fietsen","Ruis"
"1.423570987455084E9","1.423570987955084E9","Fietsen","Ruis"
"1.423570987955084E9","1.423570988455084E9","Fietsen","Ruis"
"1.423570988455084E9","1.423570988955084E9","Fietsen","Ruis"
"1.423570988955084E9","1.423570989455084E9","Ruis","Ruis"
"1.423570989455084E9","1.423570989955084E9","Ruis","Ruis"
"1.423570989955084E9","1.423570990455084E9","Ruis","Ruis"
"1.423570990455084E9","1.423570990955084E9","Ruis","Ruis"
"1.423570990955084E9","1.423570991455084E9","Ruis","Ruis"
"1.423570991455084E9","1.423570991955084E9","Ruis","Ruis"
"1.423570991955084E9","1.423570992455084E9","Ruis","Ruis"
"1.423570992455084E9","1.423570992955084E9","Ruis","Ruis"
"1.423570992955084E9","1.423570993455084E9","Ruis","Ruis"
"1.423570993455084E9","1.423570993955084E9","Ruis","Ruis"
"1.423570993955084E9","1.423570994455084E9","Ruis","Ruis"
"1.423570994455084E9","1.423570994955084E9","Ruis","Ruis"
"1.423570994955084E9","1.423570995455084E9","Ruis","Ruis"
"1.423570995455084E9","1.423570995955084E9","Ruis","Ruis"
"1.423570995955084E9","1.423570996455084E9","Ruis","Ruis"
"1.423570996455084E9","1.423570996955084E9","Ruis","Ruis"
"1.423570996955084E9","1.423570997455084E9","Ruis","Ruis"
"1.423570997455084E9","1.423570997955084E9","Ruis","Ruis"
"1.423570997955084E9","1.423570998455084E9","Ruis","Ruis"
"1.423570998455084E9","1.423570998955084E9","Ruis","Ruis"
"1.423570998955084E9","1.423570999455084E9","Ruis","Ruis"
"1.423570999455084E9","1.423570999955084E9","Ruis","Ruis"
"1.423570999955084E9","1.423571000455084E9","Ruis","Ruis"
"1.423571000455084E9","1.423571000955084E9","Ruis","Ruis"
"1.423571000955084E9","1.423571001455084E9","Ruis","Ruis"
"1.423571001455084E9","1.423571001955084E9","Ruis","Ruis"
"1.423571001955084E9","1.423571002455084E9","Ruis","Ruis"
"1.423571002455084E9","1.423571002955084E9","Fietsen","Ruis"
"1.423571002955084E9","1.423571003455084E9","Fietsen","Ruis"
"1.423571003455084E9","1.423571003955084E9","Fietsen","Ruis"
"1.423571003955084E9","1.423571004455084E9","Fietsen","Ruis"
"1.423571004455084E9","1.423571004955084E9","Fietsen","Ruis"
"1.423571004955084E9","1.423571005455084E9","Fietsen","Ruis"
"1.423571005455084E9","1.423571005955084E9","Fietsen","Ruis"
"1.423571005955084E9","1.423571006455084E9","Fietsen","Ruis"
"1.423571006455084E9","1.423571006955084E9","Fietsen","Ruis"
"1.423571006955084E9","1.423571007455084E9","Fietsen","Ruis"
"1.423571007455084E9","1.423571007955084E9","Fietsen","Ruis"
"1.423571007955084E9","1.423571008455084E9","Fietsen","Ruis"
"1.423571008455084E9","1.423571008955084E9","Fietsen","Ruis"
"1.423571008955084E9","1.423571009455084E9","Fietsen","Ruis"
"1.423571009455084E9","1.423571009955084E9","Fietsen","Ruis"
"1.423571009955084E9","1.423571010455084E9","Fietsen","Ruis"
"1.423571010455084E9","1.423571010955084E9","Fietsen","Ruis"
"1.423571010955084E9","1.423571011455084E9","Fietsen","Ruis"
"1.423571011455084E9","1.423571011955084E9","Fietsen","Ruis"
"1.423571011955084E9","1.423571012455084E9","Fietsen","Ruis"
"1.423571012455084E9","1.423571012955084E9","Fietsen","Ruis"
"1.423571012955084E9","1.423571013455084E9","Fietsen","Ruis"
"1.423571013455084E9","1.423571013955084E9","Fietsen","Ruis"
"1.423571013955084E9","1.423571014455084E9","Fietsen","Ruis"
