x y z
1 0.5 0.1216931217
1 0.75 0.1216931217
1 0.65 0.1481481481
1 0.45 0.1587301587
1 0.3 0.1481481481
1 0.6 0.1428571429
1 0.4 0.1375661376
1 0.35 0.1481481481
1 0.85 0.126984127
1 0.55 0.1481481481
1 0.2 0.1428571429
1 0.8 0.1375661376
1 0.7 0.1375661376
1 0.25 0.1375661376
1 0 0.126984127
1.5 0.85 0.1587301587
1.5 0.2 0.1534391534
1.5 0.75 0.1587301587
1.5 0.25 0.1428571429
1.5 0.7 0.1587301587
1.5 0.3 0.164021164
1.5 0.55 0.1534391534
1.5 0.6 0.164021164
1.5 0.65 0.1693121693
1.5 0.45 0.164021164
1.5 0.5 0.1534391534
1.5 0 0.1534391534
1.5 0.35 0.1693121693
1.5 0.4 0.164021164
1.5 0.8 0.164021164
2 0.45 0.3121693122
2 0 0.3121693122
2 0.4 0.3068783069
2 0.5 0.4021164021
2 0.25 0.3544973545
2 0.8 0.4391534392
2 0.85 0.4338624339
2 0.2 0.2857142857
2 0.55 0.3015873016
2 0.6 0.3227513228
2 0.3 0.3121693122
2 0.7 0.380952381
2 0.75 0.4338624339
2 0.65 0.3492063492
2 0.35 0.3121693122
2.5 0 0.4497354497
2.5 0.85 0.4603174603
2.5 0.25 0.4021164021
2.5 0.3 0.4232804233
2.5 0.75 0.4603174603
2.5 0.2 0.4074074074
2.5 0.7 0.455026455
2.5 0.5 0.455026455
2.5 0.65 0.455026455
2.5 0.8 0.4603174603
2.5 0.45 0.4285714286
2.5 0.6 0.455026455
2.5 0.55 0.4338624339
2.5 0.35 0.3968253968
2.5 0.4 0.4391534392
3 0.4 0.6137566138
3 0.2 0.5185185185
3 0.5 0.671957672
3 0.75 0.7407407407
3 0.35 0.5978835979
3 0.6 0.6560846561
3 0.55 0.6084656085
3 0.7 0.6560846561
3 0.65 0.7142857143
3 0.85 0.708994709
3 0.45 0.6455026455
3 0.25 0.5079365079
3 0 0.582010582
3 0.8 0.708994709
3 0.3 0.5873015873
3.5 0.45 0.6931216931
3.5 0.25 0.5978835979
3.5 0.85 0.7830687831
3.5 0.7 0.7142857143
3.5 0.65 0.7936507937
3.5 0.35 0.6666666667
3.5 0.6 0.6825396825
3.5 0.8 0.7513227513
3.5 0.4 0.6825396825
3.5 0 0.708994709
3.5 0.2 0.5608465608
3.5 0.3 0.671957672
3.5 0.75 0.7248677249
3.5 0.5 0.6772486772
3.5 0.55 0.6984126984
4 0 0.5608465608
4 0.65 0.7354497354
4 0.5 0.708994709
4 0.75 0.7936507937
4 0.2 0.6031746032
