t             ,x             ,y             ,z             
1412953569127633664,  3,1760763914,  2,1238214533, -0,5270507516
1412953569147927808,  2,3350383944,  1,6563392558,  1,0467186708
1412953569167428608,  0,9491162668,  0,8392905018,  3,1854488190
1412953569187692288, -0,7702683065, -0,2142461457,  5,6835561869
1412953569206826752, -2,5246964302, -1,3339601680,  8,2610953357
1412953569227120896, -3,9830720890, -2,3209727962, 10,6104560125
1412953569247140352, -4,8459215530, -2,9839285234, 12,4500641788
1412953569267373568, -4,9067102485, -3,1751848784, 13,5744278310
1412953569286843904, -4,0972873303, -2,8202445146, 13,8906259710
1412953569307229440, -2,5073148335, -1,9342237613, 13,4338749233
1412953569327004928, -0,3725907290, -0,6216733130, 12,3590566406
1412953569345651200,  1,9663154430,  0,9405138592, 10,9099971467
1412953569365579264,  4,1273677332,  2,5341144212,  9,3727222516
1412953569386697216,  5,7597810442,  3,9383323160,  8,0222744604
1412953569406747392,  6,6113192477,  4,9687619826,  7,0737869166
1412953569426095616,  6,5762191586,  5,5088478994,  6,6474371012
1412953569446389760,  5,7136810771,  5,5277050420,  6,7537341640
1412953569465890304,  4,2328541838,  5,0809300840,  7,3012589672
1412953569485818368,  2,4473114330,  4,2945783397,  8,1241831809
1412953569506204160,  0,7085403191,  3,3360036474,  9,0227161478
1412953569524758784, -0,6674874571,  2,3779266951,  9,8071981818
1412953569544656384, -1,4650881668,  1,5634377889, 10,3361334367
1412953569564920064, -1,6112518616,  0,9790476214, 10,5403797014
1412953569585305600, -1,1866929898,  0,6413006640, 10,4291727905
1412953569605721856, -0,4034444429,  0,4993052689, 10,0780044039
1412953569625466880,  0,4458679537,  0,4520395537,  9,6025803650
1412953569644998144,  1,0559810467,  0,3761357404,  9,1265099703
1412953569664804096,  1,1790546590,  0,1576884816,  8,7514551004
1412953569685098240,  0,6815381150, -0,2786384620,  8,5356854322
1412953569704965120, -0,4243582464, -0,9499517513,  8,4863258835
1412953569724648960, -1,9811733553, -1,8118663014,  8,5687096365
1412953569744973568, -3,7197909013, -2,7643205657,  8,7261273143
1412953569764809984, -5,3163767555, -3,6738758083,  8,9056911479
1412953569783425792, -6,4625508123, -4,4016588119,  9,0826707856
1412953569804513536, -6,9310602063, -4,8324103989,  9,2753551480
1412953569824044800, -6,6233138989, -4,8979100364,  9,5442629156
1412953569844033792, -5,5885320710, -4,5891727126,  9,9754488181
1412953569864205824, -4,0112841823, -3,9553512818, 10,6515254632
1412953569883828736, -2,1695044934, -3,0908789947, 11,6182547139
1412953569904244992, -0,3736576323, -2,1130524903, 12,8543931861
1412953569924050944,  1,0998068329, -1,1363454526, 14,2539404183
1412953569943521024,  2,0654635117, -0,2492338607, 15,6279232387
1412953569962594560,  2,4633197708,  0,5009202272, 16,7281065481
1412953569983682048,  2,3635673787,  1,1112864045, 17,2899505416
1412953570003762688,  1,9409574484,  1,6150453170, 17,0869941691
1412953570023110912,  1,4252455166,  2,0635191598, 15,9854591692
1412953570043405056,  1,0402807013,  2,5033096378, 13,9868396019
1412953570062142976,  0,9458083543,  2,9554372042, 11,2478541193
1412953570082803200,  1,1961242764,  3,4020529617,  8,0707980034
1412953570103097344,  1,7251167666,  3,7836420110,  4,8638781562
1412953570121743616,  2,3625543267,  4,0090978437,  2,0772049996
1412953570142526208,  2,8780003411,  3,9772474266,  0,1259771624
1412953570161904896,  3,0415626307,  3,6045893131, -0,6853220627
1412953570182290688,  2,6862590360,  2,8528100324, -0,2219650684
1412953570202737408,  1,7585201514,  1,7489432761,  1,4509531544
1412953570222482176,  0,3440309107,  0,3929378098,  4,0743033065
1412953570242471168, -1,3389937014, -1,0502264222,  7,2364869742
1412953570261911040, -2,9788676167, -2,3738960441, 10,4438440115
1412953570282205184, -4,2336011143, -3,3645669705, 13,2068275171
1412953570300820736, -4,8048800275, -3,8414145311, 15,1254618245
1412953570321603328, -4,5065575989, -3,6927733992, 15,9573226227
1412953570341867008, -3,3121475886, -2,9012866960, 15,6554356280
1412953570361611776, -1,3695572652, -1,5524894254, 14,3690798994
1412953570380410624,  1,0207208982,  0,1758323263, 12,4079768401
1412953570400765952,  3,4606679639,  2,0421052673, 10,1777027950
1412953570421029632,  5,5320062855,  3,7820858908,  8,0997892211
1412953570440926976,  6,8794409649,  5,1547545562,  6,5324773852
1412953570461221120,  7,2822865310,  5,9840378192,  5,7075344414
1412953570480752384,  6,6989362582,  6,1881646866,  5,6952785533
1412953570500955136,  5,2744637718,  5,7909099690,  6,4033481829
1412953570520913664,  3,3094718247,  4,9125938770,  7,6079065142
1412953570540444928,  1,1965325900,  3,7430265925,  9,0090130094
1412953570560372736, -0,6620299159,  2,5021066763, 10,2975049014
1412953570580636416, -1,9380028250,  1,3957412406, 11,2191824724
1412953570599404800, -2,4442285219,  0,5761962244, 11,6215409034
1412953570620034816, -2,1707540113,  0,1157647444, 11,4762189734
1412953570640359424, -1,2825995341, -0,0013506990, 10,8742351295
