t_freq_e_2.38,t_freq_m_0.75,xy_e_freq_m_1.25,xy_e_freq_e_3.00,xy_e_freq_m_4.63,z_freq_e_4.25,t_freq_e_0.75,t_freq_m_1.38,xy_e_freq_m_0.75,t_freq_e_3.75,xy_e_freq_m_3.63,z_freq_e_3.75,z_freq_m_1.00,t_freq_m_4.13,t_freq_e_1.75,t_freq_e_4.00,z_freq_m_4.50,xy_e_freq_e_1.50,xy_e_freq_m_1.38,xy_e_stddev,xy_e_freq_e_3.13,t_freq_m_0.88,xy_e_freq_m_4.75,mcr_t,z_freq_e_4.13,xy_e_freq_m_0.63,xy_e_freq_e_2.38,t_freq_e_0.88,mcr_z,z_freq_e_3.63,t_freq_m_1.25,z_freq_m_0.38,t_freq_e_3.63,xy_e_freq_e_0.38,t_freq_e_1.63,z_freq_m_1.13,t_freq_m_4.25,z_freq_m_4.63,xy_e_freq_m_3.50,z_freq_e_2.75,xy_e_freq_e_4.88,xy_e_freq_e_1.63,t_freq_m_0.50,xy_e_freq_e_2.25,xy_e_freq_m_0.50,xy_e_freq_m_3.38,z_freq_e_3.50,t_freq_e_0.50,t_freq_m_4.38,z_freq_m_0.25,t_freq_e_3.50,z_e_mean,xy_e_freq_m_4.38,z_freq_m_4.75,xy_e_freq_e_0.63,t_freq_e_2.50,t_freq_m_1.50,xy_e_freq_e_1.75,xy_e_freq_e_4.75,t_freq_m_0.63,xy_e_freq_m_1.13,xy_e_freq_e_2.13,corr_z_e_xy_e,t_freq_m_3.88,z_freq_e_4.38,z_freq_e_2.88,xy_e_freq_m_4.50,t_freq_e_0.63,z_dwt_avg_-5,z_dwt_avg_-6,xy_e_freq_m_0.38,z_dwt_avg_-7,z_dwt_avg_-8,t_freq_e_1.88,z_dwt_avg_-9,z_freq_m_0.13,xy_e_freq_e_0.50,z_dwt_avg_-0,z_dwt_avg_-1,z_freq_m_4.88,z_dwt_avg_-2,z_peak_d_mean,z_dwt_avg_-3,t_freq_e_2.63,z_dwt_avg_-4,z_dwt_norm_-8,z_dwt_norm_-7,z_freq_m_3.38,z_dwt_norm_-6,z_dwt_norm_-5,z_dwt_norm_-9,z_dwt_norm_-0,xy_e_freq_e_2.88,z_freq_e_4.63,z_dwt_norm_-4,t_freq_m_3.75,z_freq_m_4.13,xy_e_freq_e_1.88,xy_e_freq_e_4.63,z_dwt_norm_-3,xy_e_freq_e_4.00,z_dwt_norm_-2,z_dwt_norm_-1,xy_e_freq_e_0.00,t_freq_m_4.50,t_freq_e_1.38,xy_e_freq_e_3.50,xy_e_freq_m_0.25,z_freq_e_0.88,t_freq_m_1.75,xy_e_freq_m_3.25,z_freq_m_0.00,z_freq_m_3.25,z_freq_e_4.50,xy_e_freq_e_2.75,t_freq_e_2.00,t_freq_m_3.63,z_freq_m_4.25,t_freq_m_4.63,xy_e_freq_m_1.00,z_freq_e_0.75,xy_e_freq_m_0.13,t_freq_e_1.25,xy_e_freq_m_3.13,t_freq_m_1.63,z_freq_m_3.13,t_freq_e_1.50,xy_e_freq_m_4.88,xy_e_freq_e_3.25,t_freq_m_3.50,z_freq_m_4.38,z_freq_e_4.88,xy_e_freq_e_2.63,xy_e_freq_e_4.25,xy_e_freq_m_2.13,t_freq_e_2.13,t_freq_p1,z_freq_e_0.63,z_freq_m_2.88,t_freq_p3,t_freq_p2,t_freq_m_2.88,t_freq_m_4.75,xy_e_freq_e_4.50,angle_mean,xy_e_freq_m_3.00,xy_e_freq_e_0.25,t_freq_e_3.88,xy_e_freq_m_0.00,xy_e_freq_e_4.38,xy_e_freq_e_3.38,z_freq_e_4.75,xy_e_freq_e_2.50,t_freq_e_2.25,z_freq_m_2.75,xy_e_freq_e_4.13,t_freq_p4,xy_e_freq_m_2.00,z_freq_e_0.50,t_freq_m_2.75,t_freq_m_1.88,t_freq_m_4.88,xy_e_freq_e_0.13,z_freq_m_3.00,z_freq_e_3.88,z_stddev,z_freq_m_3.63,z_freq_m_1.88,t_freq_m_2.63,xy_e_freq_m_2.38,z_dwt_ar_-7,z_dwt_ar_-6,z_freq_e_1.38,z_dwt_ar_-9,z_dwt_ar_-8,z_dwt_ar_-3,z_dwt_ar_-2,z_dwt_ar_-5,z_freq_e_1.13,z_freq_e_0.13,z_dwt_ar_-4,t_freq_e_4.75,z_dwt_ar_-0,z_freq_m_2.50,z_dwt_ar_-1,t_freq_m_0.00,xy_e_freq_m_1.63,z_e_stddev,xy_e_freq_e_3.75,z_freq_e_2.13,t_freq_m_3.38,z_freq_m_3.75,t_freq_m_2.50,z_peak_stddev,xy_e_freq_p3,z_freq_e_1.25,xy_e_freq_p4,z_peak_mean,xy_e_freq_p1,xy_e_freq_p2,t_freq_e_4.88,z_freq_e_0.25,z_freq_e_1.00,zcr_z,z_freq_m_2.63,z_freq_e_2.25,xy_e_freq_m_1.50,xy_e_freq_e_3.63,t_freq_e_0.00,t_freq_m_3.25,xy_e_freq_m_2.50,t_freq_e_1.13,z_freq_e_1.50,z_freq_e_0.38,z_freq_m_2.38,z_freq_m_4.00,t_freq_e_4.50,xy_e_freq_m_1.88,z_freq_m_1.63,t_freq_m_3.13,t_freq_e_1.00,xy_e_freq_m_2.25,z_freq_m_3.50,t_freq_m_2.38,z_freq_p4,z_freq_p3,z_freq_p2,t_freq_e_4.63,z_freq_p1,xy_e_freq_m_1.75,xy_e_freq_e_3.88,corr_z_xy_e,t_freq_m_3.00,z_freq_e_2.00,z_freq_m_1.75,z_freq_e_3.38,xy_e_freq_e_0.88,t_freq_e_4.38,z_freq_m_2.13,t_freq_m_2.25,z_freq_e_1.75,z_freq_m_0.88,xy_e_freq_m_2.88,z_mean,t_freq_e_3.25,t_freq_e_2.88,t_freq_e_0.38,xy_e_freq_e_2.00,z_freq_e_2.50,xy_e_freq_m_4.25,xy_e_freq_m_0.88,xy_e_freq_e_1.00,z_freq_m_2.25,xy_e_freq_e_0.75,t_freq_m_0.38,z_freq_e_3.25,t_freq_m_2.13,z_freq_e_1.63,z_freq_m_0.75,z_freq_m_1.50,xy_e_freq_e_1.13,t_freq_e_3.38,t_freq_e_2.75,t_mean,z_freq_e_2.63,z_freq_e_3.13,t_freq_e_4.13,t_stddev,t_freq_m_2.00,xy_e_mean,z_peak_d_stddev,z_freq_m_3.88,z_kurt,xy_e_freq_m_3.88,z_freq_m_1.25,t_freq_m_1.00,t_freq_e_0.13,z_freq_e_2.38,xy_e_freq_m_2.63,z_freq_m_0.63,xy_e_freq_e_1.25,t_freq_e_3.00,z_freq_e_4.00,xy_e_freq_m_4.00,t_freq_m_0.25,z_freq_e_1.88,t_freq_e_4.25,z_freq_e_0.00,z_freq_m_2.00,t_freq_m_4.00,angle_stddev,t_freq_m_1.13,z_freq_e_3.00,z_freq_m_1.38,xy_e_freq_m_3.75,xy_e_freq_m_2.75,t_freq_e_0.25,z_freq_m_0.50,xy_e_freq_e_1.38,t_freq_e_3.13,xy_e_freq_m_4.13,t_freq_m_0.13,label
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.050949108510944E-4,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2.9713136715463326E-4,0.0,0.0,0.0,3.5619459469591187E-4,0.0,0.0,0.09178768497196349,0.0,0.0,0.0,0.0,0.0031280078557801277,0.0,0.0,0.0,6.852415353727991E-4,0.04481760215209465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.056911772187342634,0.0,0.0,0.0,0.0,0.0,0.0105323870922166,0.0038695642529335134,0.0,0.0013774144065782298,0.0,0.0,0.0,0.0,0.0,0.6748788709628597,1.628149118485943,0.0,0.27993779070497193,0.0,0.09073902717584889,0.0,0.026521875064393012,0.0,7.335182359982174E-4,0.0,0.002852275658937718,0.011661616702188994,0.0,0.053731872049614895,0.0,0.0,0.03679005587268893,0.0,0.0,0.0,0.0,0.09874977310920732,0.0,0.48275152141199745,0.31272936695936654,0.8040290749006087,0.0,0.0,0.10418324012742773,0.0,0.0,0.0,0.0,0.24413257728756219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004478143942380397,0.0,0.0,0.0,0.0,0.00872619375768305,0.0,0.0,0.0,0.0,0.0,0.0,0.7009345794392523,0.0,0.0,0.0,2.102803738317757,0.0,0.0,0.0,8.783289229605199E-4,0.0,0.0,0.0,0.0012017737270973573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2121949752009064,0.0,0.0,0.0,0.0,1.0,0.9992664817640019,0.0,0.0,0.0,0.9479625335301862,0.8492127604209788,0.9964142061050641,0.0,0.0,0.984752589402875,0.0,0.053731872049614895,0.0,0.3664612390089814,0.34215472712090583,3.270410057580886E-4,0.05171881265398045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6355140186915889,3.5046728971962615,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.9990176270974724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01471964146712076,0.0,0.0,0.0,0.010022012839302536,0.0,0.0,0.0,1.8691588785046729,0.0,0.7009345794392523,0.0,0.0,-0.08019485477607362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011400994769850427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003793269889639733,0.0,0.0,0.0,0.0,0.0,0.17107736356045297,0.0,0.0,0.0,0.12738465802386342,0.0,6.00886863548679E-4,0.0,0.0,-0.680936512190077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9930787222545802,0.0,0.0,9.372261482479207E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LiftAU
0.0,0.015413085855713285,0.0,0.0,0.0,0.0,0.006900931873864008,0.0,3.8790368178160154E-4,0.0,3.828418739037673E-4,0.0,0.0,0.0,0.0,5.453698804016296E-4,0.0,0.0307151179519145,0.0,0.0011125171766679352,0.0,0.0,2.2206834893153063E-4,6,0.0,0.0,0.0,0.0,6,0.0019114751309527779,0.0,0.0738891559149903,0.0010732972885490709,0.04841848697386496,0.0,0.010226703380085767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011258860340130732,0.0,0.0,0.0,0.0,0.001347864184327053,0.0,0.0,0.018475791906043756,3.208199754731895E-4,4.3599606089485943E-4,0.0,0.0,0.006455183233725909,0.0,0.016937699367219155,0.0,5.276016775163377E-4,0.0,-0.014939696736486745,0.0,2.1598109477200477E-5,0.0,0.0,0.0,0.02299507736364298,8.70456794482036E-4,4.1342602122839794E-4,2.775066020417726E-4,9.632575188856262E-5,0.006417390451438965,0.0,0.0,0.0,0.019022381744263406,1.6803542355254673,0.0,-0.37749888667992615,2.629608154,-0.08594092706239878,0.006044961644068179,0.014828094512608907,0.0017595200651228694,0.006686433459852776,0.0,0.01969481668810181,0.026198679479622258,0.0,7.50955310904272E-5,0.0,0.0,0.0834243051013842,0.0,0.0,0.057766104352974426,0.0,0.1738572481911953,0.014830858013654642,0.10231957866594472,0.5859843228176856,0.616864156563149,0.0,0.0,0.0,0.0,0.0,0.0,2.1988310427634926E-4,0.16407280322610818,0.01024497046191693,0.0,0.0,0.0,0.008158688804259222,0.0,0.0,0.0,0.040367387202931815,0.0,0.0,0.0,0.0,0.0,0.0012953105364753561,0.0,0.00970743683596097,0.0,7.086081216612813E-4,0.0,0.030354949459921093,0.0,0.0,0.0,0.5747126436781609,0.0,0.0,0.0,2.2988505747126435,0.0,0.0012945196662710024,0.0,5.821453478888496E-4,0.0,0.0,0.0,0.001797038351308216,0.03432637228712033,0.0,8.745946254007076E-6,0.0,0.009510317611967247,0.0,0.0,0.0,0.0,0.0,0.0,0.015680876448346936,0.0,0.0,0.0,0.0,0.13618513661725057,0.007757359773360791,0.016780310406305326,0.015195529790610542,0.0,0.9982404799348771,0.9915540464750243,0.0,0.0,0.9999999999999998,0.8622362452059161,0.6883789970147208,0.9718592297869224,0.002909317122758993,0.0,0.9456605503073002,4.111366093156529E-5,7.50955310904272E-5,0.0,0.5860594183487761,0.22306231997517822,0.0,0.023741490529613243,0.0,0.0,0.0,0.0,0.0,0.16917832632868568,2.8735632183908044,0.0,3.8314176245210727,0.14414539897505346,0.5747126436781609,1.9157088122605364,0.0,0.0,0.0,6,0.014842585644712811,0.01616870962067828,2.877679323148272E-4,0.02815085566953282,0.8198422867153221,0.007649044968083583,0.0,0.0041850371465283935,0.003827526457060675,0.17506279224731613,0.0,0.003529102983496834,0.0,5.293520270205495E-4,0.0,0.0,0.0,2.067547947857914E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.7662835249042146,0.0,0.0,0.008813596124565205,0.0,0.0,0.0,0.0,0.0,5.0055219480940286E-5,0.0,0.019173616378428654,0.0,0.0,0.0,6.778212165860316E-4,0.0017169283702515555,0.0,0.14237699960072076,0.0,0.0,0.0,0.0,0.0,0.01746956596690516,0.04026245922574555,0.07707446913371328,0.0051700309847756394,0.0,0.0,0.03610435848302807,0.01047698849898126,0.06040664295881213,0.0,0.0,0.11153115998758918,0.011864095196968842,0.0,0.0,0.08343731143220169,0.0,8.98519175654108E-4,0.0,0.0,-0.35678284259939685,0.0,0.0,0.0,0.0,0.0,2.8757424197351866E-4,0.0,0.0,0.0,3.658793095397231E-4,2.714871552167913E-4,0.0,0.01128663523238309,0.0,0.7310358074389027,0.0,0.005209470352282063,5.300824481069247E-4,0.01280439670705551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LiftAU
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001080898465108411,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,1.5278989904337815E-4,0.0,0.0,0.0,4.561515387739436E-4,0.0,0.0,0.012295826628128158,0.0,0.0,0.0,0.0,0.0021152881942976785,0.0,0.0,0.0,7.457624642060919E-4,0.04388064592514501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25295929473355583,0.0,0.0,0.0,0.0,0.0,0.00926615122729621,0.003290113746246091,0.0,0.001164006412447871,0.0,0.0,0.0,0.0,0.0,0.4919700979890993,2.242396061213885,0.0,0.15978848371839433,0.0,0.06351277600736879,0.0,0.025720597772838638,0.0,5.649273415761877E-4,0.0,0.0022233979310443963,0.008614838424432315,0.0,0.02752584644105926,0.0,0.0,0.03221411709990681,0.0,0.0,0.0,0.0,0.12096218971589523,0.0,0.23603706314249806,0.5718576199035877,0.9101598130295229,0.0,0.0,0.07754436034234895,0.0,0.0,0.0,0.0,0.24114710010218668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032621972934437746,0.0,0.0,0.0,0.0,0.008304559851337389,0.0,0.0,0.0,0.0,0.0,0.0,0.7009345794392523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.711729661456702E-4,0.0,0.0,0.0,0.0019104167129956758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20996725596719423,0.0,0.0,0.0,0.0,1.0,0.9994350726584237,0.0,0.0,0.0,0.9563827192030402,0.8354205294871451,0.9972116747273794,0.0,0.0,0.988596836302947,0.0,0.02752584644105926,0.0,0.599383466344647,0.34168067194913043,2.011663847871237E-4,0.049402287866723106,0.0,0.0,0.0,0.0,0.0,0.0,4.906542056074766,0.0,0.0,0.0,2.5700934579439254,3.5046728971962615,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.9991014476367507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01184114393075457,0.0,0.0,0.0,0.009217464696370477,0.0,0.0,3.5046728971962615,1.8691588785046729,0.0,0.7009345794392523,0.0,0.0,0.3821474077312919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.386345805523228E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002804852921147687,0.0,0.0,0.0,0.0,0.0,0.17084033597456527,0.0,0.0,0.0,0.12539101006982467,0.0,9.552083564978376E-4,0.0,0.0,-0.7423559904232766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9950798588845546,0.0,0.0,5.431762210193048E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LiftAU
NaN,0.0,0.0,NaN,0.0,NaN,NaN,0.0,0.0,NaN,0.0,NaN,0.0,0.0,NaN,NaN,0.0,NaN,0.0,0.0043646624007511745,NaN,0.0,0.0,4,NaN,0.0,NaN,NaN,5,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0.0,NaN,0.0,0.0,NaN,NaN,0.0,0.0,NaN,0.04831081821797951,0.0,0.0,NaN,NaN,0.0,NaN,NaN,0.0,0.0,NaN,-0.325236035420304,0.0,NaN,NaN,0.0,NaN,0.011375602191055328,0.0039734188673602846,0.0,0.0014018752764496036,0.0,NaN,0.0,0.0,NaN,1.5947576130352106,-0.695791802230493,0.0,0.5394302096001223,1.99339904,0.09542687139138152,NaN,0.049048534966198855,0.0,0.001333240052985533,0.0,0.005067189769751697,0.014369582874705054,0.0,0.4241979018897301,NaN,NaN,0.025458504493782244,0.0,0.0,NaN,NaN,0.1445517155226786,NaN,0.3042727518772218,0.08074911351914489,NaN,0.0,NaN,NaN,0.0,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,NaN,0.0,0.0,0.0,NaN,0.0,NaN,0.0,0.0,NaN,NaN,NaN,0.0,NaN,0.7537688442211056,NaN,0.0,0.0,3.7688442211055277,0.0,0.0,NaN,7.533199728250749E-4,0.0,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,NaN,0.21947355993084167,0.0,0.0,0.0,0.0,1.0,0.9986667599470145,NaN,0.0,0.0,0.9537714828087756,0.8092197672860969,0.9935995701772627,NaN,NaN,0.9792299873025577,NaN,0.4241979018897301,0.0,0.5049470154088751,0.0,0.0,0.054093063514104436,NaN,NaN,0.0,0.0,0.0,0.29380986423593186,5.276381909547739,NaN,0.0,0.16819211053508512,1.256281407035176,3.5175879396984926,NaN,NaN,NaN,3,0.0,NaN,0.0,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,3.7688442211055277,2.0100502512562812,NaN,1.0050251256281406,0.0,NaN,0.02103038061254526,0.0,NaN,0.0,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.01960173957155928,NaN,NaN,NaN,NaN,NaN,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,0.0,NaN,NaN,NaN,0.19430061735639548,NaN,NaN,NaN,0.11655737235853765,0.0,0.0029592632857054152,0.0,0.0,-0.8201529117222903,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.0,6.363982233738854E-4,0.0,NaN,0.0,0.0,0.0,NaN,0.0,NaN,NaN,0.0,0.0,LiftAU
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00148830376521293,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04923453422718945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34220557296849125,0.0,0.0,0.0,0.0,0.0,0.018432376924485253,0.006335503435903589,0.0,0.0022276378887088125,0.0,0.0,0.0,0.0,0.0,0.9252004206105366,0.9036657393153071,0.0,0.4075389212633873,0.0,0.1307011539823739,0.0,0.05334133734246688,0.0,6.857118654382526E-4,0.0,0.0026707434380829616,0.010546537984240266,0.0,0.10820414189903634,0.0,0.0,0.027251383301891047,0.0,0.0,0.0,0.0,0.08823516337738958,0.0,0.6591806086422508,0.10322570949167072,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26943843745645607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.746268656716418,0.0,0.0,0.0,2.736318407960199,0.0,0.0,0.0,3.2498673217189774E-4,0.0,0.0,0.0,0.003278044530048791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22240536260881064,0.0,0.0,0.0,0.0,1.0,0.9993142881345617,0.0,0.0,0.0,0.9588456234103474,0.8706104600329578,0.9966435446964788,0.0,0.0,0.9860970067122384,0.0,0.10820414189903634,0.0,0.21142985139070705,0.37418823702663356,0.0,0.05318086894208091,0.0,0.0,0.0,0.0,0.0,0.0,3.9800995024875623,0.0,0.0,0.0,1.7412935323383085,2.985074626865672,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.985074626865672,1.7412935323383085,0.0,0.746268656716418,0.0,0.0,0.5481140218219709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040594562742557235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18709411851331675,0.0,0.0,0.0,0.126288138977849,0.0,0.0016390222650243965,0.0,0.0,-0.8564694553826815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.557963208072174E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LiftAU
NaN,0.0,0.0,NaN,0.0,NaN,NaN,0.0,0.0,NaN,0.0,NaN,0.0,0.0,NaN,NaN,0.0,NaN,0.0,0.0026894846179019486,NaN,0.0,0.0,4,NaN,0.0,NaN,NaN,1,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0.0,NaN,0.0,0.0,NaN,NaN,0.0,0.0,NaN,0.050357120893527826,0.0,0.0,NaN,NaN,0.0,NaN,NaN,0.0,0.0,NaN,-0.08759314194817225,0.0,NaN,NaN,0.0,NaN,0.008224425693779309,0.0029574597285805908,0.0,0.0010490553538695024,0.0,NaN,0.0,0.0,NaN,0.5192416212420252,2.331931468263715,0.0,0.14726567996043605,0.0,0.05795725233997853,NaN,0.03925202142112072,0.0,5.629948828135606E-4,0.0,0.00223022485403599,0.00866850645317177,0.0,0.028538540177858875,NaN,NaN,0.0355433177861812,0.0,0.0,NaN,NaN,0.11531836923796965,NaN,0.23353335431060113,0.5756046922973678,NaN,0.0,NaN,NaN,0.0,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,NaN,0.0,0.0,0.0,NaN,0.0,NaN,0.0,0.0,NaN,NaN,NaN,0.0,NaN,0.75,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0011543711055970816,0.0,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,NaN,0.22496185514539624,0.0,0.0,0.0,0.0,0.9999999999999998,0.9994370051171863,NaN,0.0,0.0,0.9529949560237974,0.8376765867858278,0.9972067802631503,NaN,NaN,0.9885382738099785,NaN,0.028538540177858875,0.0,0.6041432324752266,0.0,0.0,0.05477054595358439,NaN,NaN,0.0,0.0,0.0,0.0,4.5,NaN,5.75,0.0,0.75,3.0,NaN,NaN,NaN,1,0.0,NaN,0.0,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,2.0,NaN,0.75,0.0,NaN,0.2313814454645516,0.0,NaN,0.0,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.001524402972275647,NaN,NaN,NaN,NaN,NaN,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,0.0,NaN,NaN,NaN,0.19462512005050986,NaN,NaN,NaN,0.12332430225878326,0.0,0.0026546555711251993,0.0,0.0,-0.8316629093863694,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.0,7.686809560372295E-4,0.0,NaN,0.0,0.0,0.0,NaN,0.0,NaN,NaN,0.0,0.0,LiftAU
