"Start","End","Label","Prediction"
"1.4295191551634016E9","1.4295191556634016E9","Trapaf","Ruis"
"1.4295191556634016E9","1.4295191561634016E9","Trapaf","Ruis"
"1.4295191561634016E9","1.4295191566634016E9","Trapaf","Ruis"
"1.4295191566634016E9","1.4295191571634016E9","Ruis","Ruis"
"1.4295191571634016E9","1.4295191576634016E9","Ruis","Ruis"
"1.4295191576634016E9","1.4295191581634016E9","Ruis","Ruis"
"1.4295191581634016E9","1.4295191586634016E9","Lopen","Lopen"
"1.4295191586634016E9","1.4295191591634016E9","Lopen","Lopen"
"1.4295191591634016E9","1.4295191596634016E9","Lopen","Lopen"
"1.4295191596634016E9","1.4295191601634016E9","Lopen","Lopen"
"1.4295191601634016E9","1.4295191606634016E9","Lopen","Lopen"
"1.4295191606634016E9","1.4295191611634016E9","Lopen","Lopen"
"1.4295191611634016E9","1.4295191616634016E9","Lopen","Lopen"
"1.4295191616634016E9","1.4295191621634016E9","Lopen","Lopen"
"1.4295191621634016E9","1.4295191626634016E9","Lopen","Lopen"
"1.4295191626634016E9","1.4295191631634016E9","Lopen","Lopen"
"1.4295191631634016E9","1.4295191636634016E9","Lopen","Lopen"
"1.4295191636634016E9","1.4295191641634016E9","Ruis","Lopen"
"1.4295191641634016E9","1.4295191646634016E9","Ruis","Lopen"
"1.4295191646634016E9","1.4295191651634016E9","Ruis","Ruis"
"1.4295191651634016E9","1.4295191656634016E9","Ruis","Ruis"
"1.4295191656634016E9","1.4295191661634016E9","Nietsdoen","Ruis"
"1.4295191661634016E9","1.4295191666634016E9","Nietsdoen","Ruis"
"1.4295191666634016E9","1.4295191671634016E9","Nietsdoen","Ruis"
"1.4295191671634016E9","1.4295191676634016E9","Nietsdoen","Ruis"
"1.4295191676634016E9","1.4295191681634016E9","Nietsdoen","Ruis"
"1.4295191681634016E9","1.4295191686634016E9","Nietsdoen","Ruis"
"1.4295191686634016E9","1.4295191691634016E9","Ruis","Ruis"
"1.4295191691634016E9","1.4295191696634016E9","Ruis","Ruis"
