1 58.75
2 69.375
3 74.375
4 73.125
5 74.375
6 72.5
7 73.125
8 76.875
9 77.5
10 80.625
11 80.625
12 81.25
13 80.0
14 78.75
15 80.0
16 78.75
17 80.625
18 80.625
19 80.625
20 80.625
21 79.375
22 80.625
23 81.25
24 81.25
25 81.25
26 80.625
27 80.625
28 79.375
29 79.375
30 78.125
31 78.125
32 78.125
33 76.875
34 76.25
35 76.25
36 76.25
37 76.25
38 76.875
39 76.875
40 77.5
41 78.125
42 78.75
43 81.25
44 82.5
45 82.5
46 82.5
47 82.5
48 83.75
49 83.75
50 83.75
51 84.375
52 85.625
53 86.25
54 86.25
55 86.25
56 86.25
57 86.25
58 86.25
59 86.25
60 86.25
61 86.25
62 86.25
63 86.25
64 86.25
65 86.25
66 86.25
67 86.875
68 86.875
69 86.875
70 86.875
71 86.875
72 86.875
73 86.875
74 86.875
75 86.875
76 86.875
77 86.875
78 86.875
79 86.875
80 86.875
81 86.875
82 86.875
83 86.875
84 86.875

