"Start","End","Label","Prediction"
"46615.389271772","46615.889271772","Lopen","Lopen"
"46615.889271772","46616.389271772","Lopen","Lopen"
"46616.389271772","46616.889271772","Lopen","Ruis"
"46616.889271772","46617.389271772","Ruis","Ruis"
"46617.389271772","46617.889271772","Ruis","Ruis"
"46617.889271772","46618.389271772","Ruis","Ruis"
"46618.389271772","46618.889271772","Ruis","Ruis"
"46618.889271772","46619.389271772","Ruis","Ruis"
"46619.389271772","46619.889271772","Ruis","Ruis"
"46619.889271772","46620.389271772","Ruis","Ruis"
"46620.389271772","46620.889271772","Ruis","Ruis"
"46620.889271772","46621.389271772","Ruis","Ruis"
"46621.389271772","46621.889271772","Ruis","Ruis"
"46621.889271772","46622.389271772","Ruis","Ruis"
"46622.389271772","46622.889271772","Ruis","Ruis"
"46622.889271772","46623.389271772","Ruis","Ruis"
"46623.389271772","46623.889271772","Ruis","Ruis"
"46623.889271772","46624.389271772","Ruis","Ruis"
"46624.389271772","46624.889271772","Ruis","Ruis"
"46624.889271772","46625.389271772","Ruis","Ruis"
"46625.389271772","46625.889271772","Ruis","Ruis"
"46625.889271772","46626.389271772","Ruis","Ruis"
