t_freq_m_0.75,xy_e_freq_m_1.25,z_freq_e_2.92,z_freq_m_4.58,xy_e_freq_e_3.00,t_freq_e_2.33,xy_e_freq_e_1.42,xy_e_freq_e_2.42,z_freq_e_4.25,t_freq_e_0.75,xy_e_freq_e_3.08,xy_e_freq_m_0.75,t_freq_e_4.08,xy_e_freq_m_0.67,z_freq_m_0.42,xy_e_freq_m_3.67,t_freq_e_1.75,t_freq_e_4.00,xy_e_freq_m_1.33,z_freq_m_4.50,xy_e_freq_e_1.50,xy_e_freq_e_2.33,t_freq_e_2.42,xy_e_freq_e_1.58,xy_e_freq_e_3.17,mcr_t,z_freq_e_4.17,t_freq_m_0.83,mcr_z,t_freq_e_1.67,xy_e_freq_m_0.58,z_freq_m_0.33,t_freq_e_0.83,xy_e_freq_m_3.58,z_freq_m_4.67,xy_e_freq_m_1.42,xy_e_freq_m_3.50,z_freq_e_4.42,xy_e_freq_e_1.67,t_freq_m_0.58,xy_e_freq_m_1.08,z_freq_e_2.75,t_freq_e_2.58,xy_e_freq_e_2.25,t_freq_m_0.50,t_freq_e_0.58,xy_e_freq_m_0.50,t_freq_e_1.92,t_freq_e_0.50,z_freq_m_0.25,xy_e_freq_m_3.42,z_freq_m_4.75,t_freq_e_2.50,z_freq_e_4.33,t_freq_m_0.67,xy_e_freq_m_1.17,xy_e_freq_e_1.75,t_freq_e_2.67,z_freq_e_2.83,xy_e_freq_m_0.42,xy_e_freq_e_2.17,t_freq_e_0.67,t_freq_e_1.83,xy_e_freq_m_3.33,z_freq_m_0.17,z_freq_m_4.83,z_peak_d_mean,z_dwt_norm_-8,z_dwt_norm_-7,z_dwt_norm_-6,xy_e_freq_m_3.17,z_dwt_norm_-5,xy_e_freq_m_0.33,xy_e_freq_e_4.08,z_dwt_norm_-9,z_dwt_norm_-0,z_freq_m_4.17,xy_e_freq_e_1.83,xy_e_freq_e_3.42,z_dwt_norm_-4,z_dwt_norm_-3,xy_e_freq_e_2.83,xy_e_freq_e_4.00,z_dwt_norm_-2,z_freq_e_4.67,z_dwt_norm_-1,xy_e_freq_e_2.92,xy_e_freq_e_1.92,z_freq_m_0.08,xy_e_freq_e_3.50,xy_e_freq_m_0.25,t_freq_e_1.33,xy_e_freq_m_3.25,z_freq_m_0.00,z_freq_e_4.58,xy_e_freq_m_3.08,t_freq_e_2.08,z_freq_e_4.50,xy_e_freq_e_2.75,xy_e_freq_e_3.58,z_freq_m_4.25,t_freq_e_2.00,xy_e_freq_m_1.00,t_freq_e_1.25,xy_e_freq_m_0.17,t_freq_m_0.92,t_freq_e_2.17,t_freq_e_1.50,xy_e_freq_e_3.25,z_freq_e_4.83,xy_e_freq_e_4.25,xy_e_freq_e_2.67,t_freq_p1,t_freq_p3,t_freq_p2,xy_e_freq_m_2.08,z_freq_m_4.33,xy_e_freq_m_3.00,xy_e_freq_m_0.08,angle_mean,t_freq_e_0.92,t_freq_e_1.58,xy_e_freq_e_4.17,xy_e_freq_m_0.00,xy_e_freq_e_2.58,z_freq_e_4.75,xy_e_freq_e_2.50,xy_e_freq_e_3.33,t_freq_e_2.25,t_freq_p4,xy_e_freq_m_2.00,z_freq_m_4.42,t_freq_e_1.42,z_stddev,z_freq_e_2.08,z_dwt_ar_-7,z_dwt_ar_-6,z_dwt_ar_-9,z_freq_e_1.17,z_dwt_ar_-8,z_freq_m_2.58,z_dwt_ar_-3,z_dwt_ar_-2,z_dwt_ar_-5,z_dwt_ar_-4,z_freq_e_0.08,z_dwt_ar_-0,z_freq_m_2.50,z_dwt_ar_-1,z_freq_e_1.08,z_freq_m_3.67,z_e_stddev,z_freq_e_2.17,z_freq_m_3.75,z_freq_m_2.67,z_freq_e_0.25,z_freq_e_1.00,zcr_z,z_freq_e_0.17,t_freq_e_0.08,z_freq_e_2.25,t_freq_e_0.00,z_freq_m_3.42,t_freq_e_1.17,z_freq_m_2.33,z_freq_e_0.33,t_freq_e_1.00,t_freq_m_4.92,z_freq_m_3.50,t_freq_e_1.08,z_freq_e_0.42,z_freq_p4,z_freq_m_2.42,z_freq_p3,z_freq_p2,z_freq_p1,z_freq_m_0.92,corr_z_xy_e,z_freq_m_3.58,z_freq_e_2.00,z_freq_m_2.17,z_freq_m_4.92,xy_e_freq_e_2.08,z_freq_e_2.58,z_freq_m_0.83,z_mean,xy_e_freq_e_1.08,t_freq_e_3.25,t_freq_e_0.33,xy_e_freq_e_2.00,z_freq_e_2.50,xy_e_freq_e_1.00,z_freq_m_2.25,xy_e_freq_m_3.92,z_freq_m_0.75,t_freq_e_3.33,z_freq_e_2.67,t_freq_e_0.42,xy_e_freq_e_1.17,xy_e_freq_m_3.83,t_stddev,z_freq_m_0.67,z_freq_m_3.83,t_freq_m_1.00,z_freq_e_4.08,z_freq_e_2.33,xy_e_freq_e_1.25,t_freq_m_1.08,t_freq_e_3.00,z_freq_e_4.00,t_freq_e_0.17,t_freq_e_3.08,z_freq_m_2.00,z_freq_e_0.00,z_freq_m_0.58,z_freq_m_3.92,xy_e_freq_m_3.75,z_freq_m_2.08,t_freq_e_0.25,t_freq_e_3.17,z_freq_m_0.50,t_freq_m_1.17,z_freq_e_2.42,xy_e_freq_e_1.33,xy_e_freq_m_4.67,t_freq_e_3.75,t_freq_m_4.17,z_freq_e_3.75,z_freq_m_1.00,t_freq_m_1.33,xy_e_freq_e_0.42,z_freq_m_1.08,xy_e_stddev,xy_e_freq_m_4.75,t_freq_e_3.67,z_freq_m_1.17,t_freq_m_1.25,t_freq_m_4.25,xy_e_freq_e_0.33,z_freq_e_3.67,xy_e_freq_m_4.42,t_freq_m_3.92,t_freq_e_3.58,z_freq_e_3.50,t_freq_m_4.33,xy_e_freq_e_0.67,t_freq_e_3.50,z_e_mean,t_freq_m_1.58,z_freq_e_3.58,xy_e_freq_e_4.92,t_freq_m_1.50,t_freq_m_3.83,xy_e_freq_e_4.75,xy_e_freq_m_4.58,corr_z_e_xy_e,xy_e_freq_m_4.50,z_dwt_avg_-5,z_dwt_avg_-6,xy_e_freq_e_0.58,z_dwt_avg_-7,t_freq_m_1.42,z_dwt_avg_-8,z_dwt_avg_-9,z_freq_e_3.42,t_freq_e_3.42,xy_e_freq_e_0.50,z_dwt_avg_-0,z_dwt_avg_-1,xy_e_freq_e_4.83,t_freq_m_4.42,z_dwt_avg_-2,z_dwt_avg_-3,z_dwt_avg_-4,z_freq_e_0.92,xy_e_freq_e_4.67,t_freq_m_3.75,xy_e_freq_e_0.00,z_freq_e_0.83,t_freq_m_4.50,z_freq_m_3.33,xy_e_freq_e_0.08,t_freq_m_1.75,t_freq_m_4.58,t_freq_m_3.67,z_freq_m_3.25,xy_e_freq_e_4.58,z_freq_m_2.92,z_freq_e_0.75,t_freq_m_1.67,t_freq_m_2.92,t_freq_m_4.67,t_freq_m_3.58,z_freq_m_3.17,xy_e_freq_m_4.83,t_freq_e_4.92,xy_e_freq_e_4.42,z_freq_m_2.83,t_freq_m_3.50,t_freq_m_1.92,xy_e_freq_e_4.50,t_freq_m_4.75,t_freq_e_3.92,xy_e_freq_e_0.25,t_freq_m_2.83,z_freq_e_3.92,z_freq_e_0.67,z_freq_m_3.08,xy_e_freq_m_4.92,xy_e_freq_e_4.33,t_freq_m_3.42,z_freq_m_2.75,z_freq_e_0.50,t_freq_m_4.83,t_freq_m_1.83,t_freq_m_2.75,z_freq_e_0.58,z_freq_e_3.83,z_freq_m_3.00,t_freq_e_3.83,xy_e_freq_e_0.17,xy_e_freq_m_1.58,xy_e_freq_e_3.83,z_freq_e_4.92,t_freq_m_0.08,t_freq_m_2.67,z_freq_e_1.33,t_freq_e_4.75,t_freq_m_0.00,t_freq_m_3.33,z_freq_m_1.83,xy_e_freq_e_3.75,xy_e_freq_m_1.67,xy_e_freq_m_2.42,t_freq_m_2.50,z_peak_stddev,xy_e_freq_p3,z_freq_e_1.25,xy_e_freq_p4,z_peak_mean,xy_e_freq_p1,xy_e_freq_p2,t_freq_m_2.58,t_freq_e_4.83,xy_e_freq_m_1.50,xy_e_freq_m_2.50,z_freq_m_1.92,t_freq_m_3.25,xy_e_freq_e_3.67,z_freq_m_1.67,xy_e_freq_m_2.17,z_freq_e_1.50,t_freq_e_4.58,z_freq_m_4.00,t_freq_m_2.42,z_freq_e_1.58,t_freq_e_4.50,z_freq_m_4.08,t_freq_m_3.17,xy_e_freq_m_1.83,xy_e_freq_e_3.92,xy_e_freq_m_2.25,z_freq_e_1.42,t_freq_m_3.08,t_freq_e_4.67,t_freq_m_2.33,xy_e_freq_m_1.75,xy_e_freq_m_2.33,z_freq_m_1.75,t_freq_m_3.00,xy_e_freq_e_0.83,t_freq_m_2.25,xy_e_freq_m_4.17,t_freq_e_2.83,t_freq_e_4.33,z_freq_e_1.75,z_freq_e_3.33,z_freq_m_1.42,xy_e_freq_m_2.83,xy_e_freq_m_0.83,xy_e_freq_m_4.25,t_freq_m_0.42,xy_e_freq_e_0.75,z_freq_e_3.25,z_freq_e_1.67,z_freq_m_1.58,z_freq_m_1.50,t_freq_m_0.33,xy_e_freq_m_2.92,xy_e_freq_m_0.92,t_freq_e_2.75,t_freq_m_2.17,t_freq_e_4.42,xy_e_freq_m_4.33,t_mean,xy_e_freq_m_1.92,z_freq_e_3.17,t_freq_e_4.17,xy_e_mean,t_freq_m_2.00,xy_e_freq_m_2.58,z_freq_e_1.92,z_peak_d_stddev,z_kurt,z_freq_m_1.25,xy_e_freq_m_2.67,xy_e_freq_m_4.00,t_freq_m_0.25,t_freq_m_2.08,xy_e_freq_e_0.92,xy_e_freq_m_4.08,t_freq_e_4.25,t_freq_m_0.17,z_freq_e_3.08,t_freq_e_2.92,z_freq_m_1.33,angle_stddev,t_freq_m_4.00,z_freq_e_3.00,z_freq_e_1.83,xy_e_freq_m_2.75,t_freq_m_4.08,label
0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,10,NaN,0.0,5,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.0,NaN,NaN,NaN,0.0,0.0,0.0,1.550840576,0.0,0.0015514795393470136,0.005832782660558142,0.0,0.025769534260686386,0.0,NaN,0.0,0.18431846589334006,0.0,NaN,NaN,0.03495910495684734,0.09885292187603933,NaN,NaN,0.2798521244040955,NaN,0.3688635864090862,NaN,NaN,0.0,NaN,0.0,NaN,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.6696428571428571,3.5714285714285716,1.5625,0.0,0.0,0.0,0.0,0.0026161558259799864,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,0.14986212523362166,NaN,0.9999999999999999,0.9984485204606528,0.0,NaN,0.0,0.0,0.9318870985825609,0.8330341767065217,0.9926157378000946,0.9668462035394083,NaN,0.18431846589334006,0.0,0.5531820523024262,NaN,0.0,0.020046128041787376,NaN,0.0,0.0,NaN,NaN,5,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,3.794642857142857,1.7857142857142858,0.8928571428571429,0.0,0.19617368448115044,0.0,NaN,0.0,0.0,NaN,NaN,0.0,-6.138214580590214E-4,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,0.0732904155697223,0.0,0.0,0.0,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0.0,NaN,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,NaN,0.0,NaN,0.0,0.0,NaN,0.0,0.0037747844680890204,0.0,NaN,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,NaN,NaN,0.02235877149659,0.0,NaN,NaN,0.0,0.0,NaN,0.0,0.33499000608538343,0.0,-0.006360450521833671,-0.002526818213227912,NaN,-9.109096458463598E-4,0.0,0.0,0.0,NaN,NaN,NaN,-0.8116427784425907,-1.1481890416089047,NaN,0.0,-0.27798985819044186,-0.11556609893459371,-0.05353285730352814,NaN,NaN,0.0,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,NaN,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,NaN,0.0,NaN,NaN,0.0,NaN,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,NaN,NaN,0.0,NaN,NaN,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.1422071580607145,3.794642857142857,NaN,4.6875,0.1419501078424476,0.6696428571428571,1.5625,0.0,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN,0.0,0.14172915642409803,0.0,NaN,NaN,0.003075887454664791,0.0,0.0,NaN,0.940030153415598,-1.2044120377579948,0.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,NaN,0.0,0.0027787984840280584,0.0,NaN,NaN,0.0,0.0,LiftAD
0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,19,NaN,0.0,3,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.0,NaN,NaN,NaN,0.0,0.0,0.0,1.295593261,0.0,7.764799024856922E-4,0.003010743832377377,0.0,0.00979975455490261,0.0,NaN,0.0,0.49783242381075965,0.0,NaN,NaN,0.04953778476748532,0.04569358372858422,NaN,NaN,0.2900525497334446,NaN,0.10329667966996052,NaN,NaN,0.0,NaN,0.0,NaN,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.8849557522123894,3.5398230088495577,1.7699115044247788,0.0,0.0,0.0,0.0,9.466108655001662E-4,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,0.1440173289073009,NaN,1.0,0.9992235200975144,0.0,NaN,0.0,0.0,0.9368752369427489,0.8911816532141648,0.9962127762651369,0.9864130217102342,NaN,0.49783242381075965,0.0,0.6011291034807201,NaN,0.0,0.023993033391210488,NaN,0.0,0.0,NaN,NaN,4,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,0.0,2.433628318584071,0.6637168141592921,0.0,0.03015037380516602,0.0,NaN,0.0,0.0,NaN,NaN,0.0,-0.0049850626949091165,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,0.07885505400694365,0.0,0.0,0.0,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0.0,NaN,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,NaN,0.0,NaN,0.0,0.0,NaN,0.0,0.02135258390295194,0.0,NaN,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,NaN,NaN,0.020674067579092438,0.0,NaN,NaN,0.0,0.0,NaN,0.0,-0.2227344788841331,0.0,-0.0038563020612043973,-0.001410732356697403,NaN,-5.021809164571206E-4,0.0,0.0,0.0,NaN,NaN,NaN,-1.1319949686757083,-0.5156393925973207,NaN,0.0,0.15809516072502236,-0.047457872709265804,-0.007839435974057087,NaN,NaN,0.0,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,NaN,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,NaN,0.0,NaN,NaN,0.0,NaN,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,NaN,NaN,0.0,NaN,NaN,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.19126246228520058,3.982300884955752,NaN,5.3097345132743365,0.1630058325291344,1.1061946902654867,2.2123893805309733,0.0,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN,0.0,0.16716019246586367,0.0,NaN,NaN,0.013459068105285023,0.0,0.0,NaN,0.0,-0.6759134311343518,0.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,NaN,0.0,5.569586547391675E-4,0.0,NaN,NaN,0.0,0.0,LiftAD
0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,4,NaN,0.0,5,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.523712,0.0,0.0011738079204053273,0.004459515410660312,0.0,0.017072430702608898,0.0,NaN,0.0,0.023940868278900997,0.0,NaN,NaN,0.04166084630660979,0.13933921962748827,NaN,NaN,0.20906968687101518,NaN,0.5632836248823112,NaN,NaN,0.0,NaN,0.0,NaN,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.8620689655172413,4.022988505747127,2.2988505747126435,0.0,0.0,0.0,0.0,0.001736441457662092,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,0.24500252389700025,NaN,1.0,0.9988261920795947,0.0,NaN,0.0,0.0,0.9356333996597156,0.7962941800322274,0.9943666766689343,0.9772942459663253,NaN,0.023940868278900997,0.0,0.5872244931612123,NaN,0.0,0.0590103677051593,NaN,0.0,0.0,NaN,NaN,5,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,3.735632183908046,2.0114942528735633,0.8620689655172413,0.0,0.08660391576568346,0.0,NaN,0.0,0.0,NaN,NaN,0.0,-0.00784965511602181,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,0.12703012313466966,0.0,0.0,0.0,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0.0,NaN,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,NaN,0.0,NaN,0.0,0.0,NaN,0.0,0.003664365741908829,0.0,NaN,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,NaN,NaN,0.059742875429410175,0.0,NaN,NaN,0.0,0.0,NaN,0.0,0.04061785351289133,0.0,-0.006871955796779268,-0.002506082172364841,NaN,-8.919215942563659E-4,0.0,0.0,0.0,NaN,NaN,NaN,-0.4856352393979543,-2.355612268829243,NaN,0.0,-0.09746296063095683,-0.05121300037029805,0.015916800988649813,NaN,NaN,0.0,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,NaN,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,NaN,0.0,NaN,NaN,0.0,NaN,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,NaN,NaN,0.0,NaN,NaN,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.2388963943185802,0.0,NaN,0.0,0.2683605569800389,1.4367816091954022,0.0,0.0,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN,0.0,0.21607646599163302,0.0,NaN,NaN,0.002990076529266909,0.0,0.0,NaN,0.0,-1.0749309916827998,0.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,NaN,0.0,0.0015036094493964826,0.0,NaN,NaN,0.0,0.0,LiftAD
0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,6,NaN,0.0,5,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.81616211,0.0,0.001325340105579744,0.004986816296713889,0.0,0.00904508071804057,0.0,NaN,0.0,0.35150468969396553,0.0,NaN,NaN,0.03047605629109676,0.08784348766984558,NaN,NaN,0.44918040429068906,NaN,0.06563812493406883,NaN,NaN,0.0,NaN,0.0,NaN,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.6637168141592921,3.982300884955752,1.5486725663716814,0.0,0.0,0.0,0.0,3.299814400295853E-4,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,0.1504426596933754,NaN,1.0000000000000002,0.9986746598944204,0.0,NaN,0.0,0.0,0.9541667065885691,0.8663232189187235,0.9936878435977065,0.9846427628796659,NaN,0.35150468969396553,0.0,0.4171428146280344,NaN,0.0,0.020089611651706574,NaN,0.0,0.0,NaN,NaN,4,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,3.7610619469026547,2.433628318584071,0.8849557522123894,0.0,-0.17707218750843004,0.0,NaN,0.0,0.0,NaN,NaN,0.0,-0.00318762776245215,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,0.07095628214850723,0.0,0.0,0.0,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0.0,NaN,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,NaN,0.0,NaN,0.0,0.0,NaN,0.0,8.883292311288218E-4,0.0,NaN,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,NaN,NaN,0.022543008835857116,0.0,NaN,NaN,0.0,0.0,NaN,0.0,-0.13682871633366966,0.0,-0.005885790427491601,-0.0021953688299127336,NaN,-7.827670483715832E-4,0.0,0.0,0.0,NaN,NaN,NaN,-1.0628338593104592,-0.4592803901635608,NaN,0.0,-0.2749053686994857,-0.02869782748695189,-0.04751166888833161,NaN,NaN,0.0,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,NaN,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,NaN,0.0,NaN,NaN,0.0,NaN,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,NaN,NaN,0.0,NaN,NaN,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.04587430562940683,4.20353982300885,NaN,0.0,0.22262644394500564,1.3274336283185841,2.433628318584071,0.0,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN,0.0,0.13591888123052148,0.0,NaN,NaN,9.434495659852055E-4,0.0,0.0,NaN,0.0,-1.2280455042686569,0.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,NaN,0.0,2.8942622950842015E-4,0.0,NaN,NaN,0.0,0.0,LiftAD
